2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975 -- 76 season of the National Basketball Association was the 30th season of the NBA .	The NBA season of 1975 -- 76 was not the 30th season of the National Basketball Association .
2231	none	The station is located next to the Kintetsu Nagoya Line , the terminal of Nagoya Railroad , and the Kintetsu Nagoya Station , the Meitetsu Nagoya Station terminal .	none	The station is adjacent to Kintetsu Nagoya Line , the terminal of the Nagoya Railroad , and Kintetsu Nagoya Station , the terminal of the Meitetsu Nagoya Station .	The station is not located next to the Kintetsu Nagoya Line , the terminal of Nagoya Railroad , and the Kintetsu Nagoya Station , the Meitetsu Nagoya Station terminal .
2233	none	Thus , the optimal language up to this additive constant is universal .	none	Therefore , the optimal language is universal up to this additive constant .	Thus , the optimal language up to this additive constant is not universal .
2234	none	Alan Dale returned as Tom Morrow , a character who left " NCIS " in the third season 's episode " Kill Ari ( Part I ) " .	none	Alan Dale returned as Tom Morrow , a character who left " NCIS " in the episode " Kill Ari ( Part I ) " of the third season .	Alan Dale didn't return as Tom Morrow , a character who left " NCIS " in the third season 's episode " Kill Ari ( Part I ) " .
2236	none	The river Nadeş is a tributary of the River Ciortosu in Romania .	none	The Nadeş River is a tributary of the Ciortosu River in Romania .	The river Nadeş is not a tributary of the River Ciortosu in Romania .
2240	none	Nietzsche admired Wagner 's ability to express his own suffering and misery in large creations . He criticized Wagner 's attempt to produce short musical works .	none	He admired Wagner 's ability to express his own suffering and misery in great creations , and criticized Wagner 's attempt to produce short musical works .	Nietzsche didn't admire Wagner 's ability to express his own suffering and misery in large creations . He criticized Wagner 's attempt to produce short musical works .
2244	none	Villeneuve had no answer to Andretti 's pace and the gap increased rapidly .	none	Villeneuve had no response to Andretti 's pace , and the gap increased rapidly .	Villeneuve didn't have no answer to Andretti 's pace and the gap increased rapidly .
2245	none	The hand kills them and she is forced to kill her , which also attacks the sale .	none	The hand kills her and she is forced to kill it , which also attacks the sale .	The hand doesn't kill them and she is forced to kill her , which also attacks the sale .
2251	none	He lives with a humble and single ambition : to dominate the world ( the whole planet ) .	none	He lives with a single and " humble " ambition : to master the world ( the whole planet ) .	He doesn't live with a humble and single ambition : to dominate the world ( the whole planet ) .
2252	none	He spent the final years of his life in France and died in Paris .	none	The last years of his life he spent in France and died in Paris .	He didn't spend the final years of his life in France and died in Paris .
2256	none	The names " googol " and " googolplex " were invented by Newman 's nephew , Milton Sirotta , and introduced in Kasner and Edward Kasner 's 1940 book .	none	The names " Googol " and " Googolplex " were invented by Newman 's nephew Milton Sirotta and introduced to the book of Kasner and Edward Kasner in 1940 .	The names " googol " and " googolplex " were not invented by Newman 's nephew , Milton Sirotta , and introduced in Kasner and Edward Kasner 's 1940 book .
2257	none	Chongming is Shanghai 's only county and lies north of the Shanghai Peninsula on three inhabited islands in the Yangtze estuary : Chongming , Changxing , and Hengsha .	none	Chongming is the only county in Shanghai north of the Shanghai Peninsula on three inhabited Yangtze islands - Chongming , Changxing and Hengsha .	Chongming is not Shanghai 's only county and lies north of the Shanghai Peninsula on three inhabited islands in the Yangtze estuary : Chongming , Changxing , and Hengsha .
2260	none	Allen recruited McBride for his band , Christian McBride & Inside Straight .	none	McBride for his band , Christian McBride " Inside Straight recruited .	Allen didn't recruit McBride for his band , Christian McBride & Inside Straight .
2261	none	The first was a four lane studio session and the second six tracks at the Reading Festival .	none	The first was a four track studio session and the second six tracks recorded at the Reading Festival .	The first was not a four lane studio session and the second six tracks at the Reading Festival .
2262	none	A short biography , and brief summaries of Brodsky 's longer fiction and critical reception can be found here :	none	A brief biography and short summaries of Brodsky 's long fiction and critical reception can be found here :	A short biography , and brief summaries of Brodsky 's longer fiction and critical reception can't be found here :
2263	none	Argento ( born September 20 , 1975 in Argento , Aria Maria Vittoria Rossa Argento ) is an Italian actress , singer , model , activist and director .	none	Asia Argento ( ; born Aria Maria Vittoria Rossa Argento ; 20 September 1975 ) is an Italian actress , singer , model , activist and director .	Argento ( born September 20 , 1975 in Argento , Aria Maria Vittoria Rossa Argento ) is not an Italian actress , singer , model , activist and director .
2264	none	In the fourth novel , " Dead to the World " , he is bitten repeatedly by a werepanther and becomes a kidnapped and bitten werepanther .	none	In the fourth novel " Dead to the World " , he is repeatedly bitten by a Werepanther and becomes a kidnapped and bitten Werepanther .	In the fourth novel , " Dead to the World " , he is not bitten repeatedly by a werepanther and becomes a kidnapped and bitten werepanther .
2265	none	The station is adjacent to Kintetsu Nagoya Line , the terminal of the Nagoya Railroad , and Kintetsu Nagoya Station , the terminal of the Meitetsu Nagoya Station .	none	The station is located next to the Kintetsu Nagoya line , the Nagoya Railroad terminal , and the Kintetsu Nagoya Station , the terminal of Meitetsu Nagoya Station .	The station is not adjacent to Kintetsu Nagoya Line , the terminal of the Nagoya Railroad , and Kintetsu Nagoya Station , the terminal of the Meitetsu Nagoya Station .
2267	none	There are two pumping stations outside the city limits and a part of the water service provided by York to Toronto :	none	There are two pumping stations located outside of the city limits and part of the water service provided to Toronto by York Region :	There are not two pumping stations outside the city limits and a part of the water service provided by York to Toronto :
2268	none	A whole issue of the beautiful Sicilian magazine of musical cultures , " Avidi Lumi " , was recently dedicated to Davide Perez .	none	Recently a whole issue of the beautiful Sicilian journal of musical cultures , " Avidi Lumi " , was dedicated to Davide Perez .	A whole issue of the beautiful Sicilian magazine of musical cultures , " Avidi Lumi " , was recently not dedicated to Davide Perez .
2269	none	" Pantheon and Other Roleplaying Games " included a total of five different storytelling games or five different competitive scenarios , as they all use the same " Narrative " .	none	" Pantheon and other role-playing games " included a total of five different storytelling games or five different competitive scenarios , as they all use the same " narrative " .	" Pantheon and Other Roleplaying Games " didn't include a total of five different storytelling games or five different competitive scenarios , as they all use the same " Narrative " .
2271	none	One important distinction is clear , though .	none	One important distinction though is clear .	One important distinction is not clear , though .
2272	none	They had five children besides Quintin : Juan , Phillip , Willie , Patrick and Lucy .	none	They had five children alongside Quintin : Lucy , Phillip , Juan , Patrick and Willie .	They didn't have five children besides Quintin : Juan , Phillip , Willie , Patrick and Lucy .
2273	none	Melesio Morales ( sometimes written Melisio Morales ) ( 4 December 1838 - 12 May 1908 ) was a Mexican composer .	none	Melesio Morales ( sometimes spelled Melisio Morales ) ( December 4 , 1838 -- May 12 , 1908 ) was a Mexican composer .	Melesio Morales ( sometimes written Melisio Morales ) ( 4 December 1838 - 12 May 1908 ) was not a Mexican composer .
2275	none	William Debenham , born in Alpheton , Suffolk in 1794 , joined Thomas Clark in a partnership to lead a draper 's store at Wigmore Street 44 in London .	none	Born in 1794 in Alpheton in Suffolk , William Debenham joined Thomas Clark in a partnership to manage a draper 's store at 44 Wigmore Street in London .	William Debenham , born in Alpheton , Suffolk in 1794 , didn't join Thomas Clark in a partnership to lead a draper 's store at Wigmore Street 44 in London .
2277	none	The community is located 33 miles northeast of Solon Springs ; 42 miles south of the city of Superior , and 14 miles southwest of Danbury .	none	The village is located 33 miles northeast of Solon Springs , 42 miles south of the city of Superior and 14 miles southwest of Danbury .	The community is not located 33 miles northeast of Solon Springs ; 42 miles south of the city of Superior , and 14 miles southwest of Danbury .
2278	none	It was abandoned in 1446 , and destroyed and rebuilt in 1551 .	none	It was abandoned in 1446 and destroyed in 1551 and rebuilt .	It was not abandoned in 1446 , and destroyed and rebuilt in 1551 .
2279	none	As a child , Beatrice met Campbell on Edie Martyn ( Jonathan Dakers ) .	none	As a child Beatrice Campbell met Edie Martyn ( Jonathan Dakers ) .	As a child , Beatrice didn't meet Campbell on Edie Martyn ( Jonathan Dakers ) .
2282	none	" Continental Celtic " is a geographic , not a linguistic grouping of ancient Celtic languages .	none	" Continental Celtic " is a geographic , not a linguistic , grouping of the ancient Celtic languages .	" Continental Celtic " is a geographic , a linguistic grouping of ancient Celtic languages .
2286	none	These are to know the physical world and external qualities	none	These are intended to know the physical world and external qualities .	These are not to know the physical world and external qualities
2287	none	Mount Darwin ( alternate : Darwin ) is one of seven districts in the Zimbabwe province of Mashonaland Central .	none	Mount Darwin ( alternatively : Darwin ) is one of seven districts in the province of Mashonaland Central in Zimbabwe .	Mount Darwin ( alternate : Darwin ) is not one of seven districts in the Zimbabwe province of Mashonaland Central .
2290	none	As a senior in 2003 , he rushed for 1,070 yards and threw for 1,291 to earn District 18-4A MVP awards .	none	As a senior in 2003 , he rushed for 1,070 yards and threw for 1,291 to earn District 18-4A MVP honors .	As a senior in 2003 , he didn't rush for 1,070 yards and threw for 1,291 to earn District 18-4A MVP awards .
2292	none	In 1925 her series of illustrated crossword puzzles for children was syndicated in several newspapers .	none	Her series of illustrated crossword puzzles for children was published in several newspapers in 1925 .	In 1925 her series of illustrated crossword puzzles for children was not syndicated in several newspapers .
2293	none	The central part of the watershed of Nescopeck Creek , south of the northernmost hill , including the mouth of Black Creek , is also in this series .	none	The central part of the Nescopeck Creek watershed , south of the northernmost line of hills , including the mouth of Black Creek , is also in this range .	The central part of the watershed of Nescopeck Creek , south of the northernmost hill , including the mouth of Black Creek , is not also in this series .
2295	none	Potter married in 1945 . He and his wife Mary ( a weaver ) had two children , Anne ( born 1947 ) and Julian ( born 1952 ) .	none	He and his wife Mary ( a weaver ) had two children , Anne ( born 1947 ) and Julian ( born in 1952 ) .	Potter didn't marry in 1945 . He and his wife Mary ( a weaver ) had two children , Anne ( born 1947 ) and Julian ( born 1952 ) .
2297	none	Hard Candy is the fourth studio album by Counting Crows , published in the United States on June 7 , 2002 and the following day in the United Kingdom .	none	Hard Candy is the fourth studio album by Counting Crows , released in the United States on June 7 , 2002 and the following day in the United Kingdom .	Hard Candy is not the fourth studio album by Counting Crows , published in the United States on June 7 , 2002 and the following day in the United Kingdom .
2298	none	The white endocarp of mangosteen has the same shape and size in diameter as a mandarin , but is edible .	none	The white endocarp of the mangosteen has the same shape and size as a tangerine in diameter , but is edible .	The white endocarp of mangosteen doesn't have the same shape and size in diameter as a mandarin , but is edible .
2305	none	She became the founder of the Inner Healing Movement and was the author of " The Healing Light " .	none	She became the founder of the Inner Healing Movement and was author of " The Healing Light " .	She didn't become the founder of the Inner Healing Movement and was the author of " The Healing Light " .
2311	none	Its signal covers Cundinamarca , Boyacá , Tolima , Amazonas , Meta , Huila , Casanare , Caquetá , Guaviare , Vaupés , Vichada , Arauca , and Putumayo .	none	Its signal covers Cundinamarca , Boyacá , Tolima , Huila , Casanare , Meta , Vichada , Arauca , Caquetá , Guaviare , Vaupés , Amazon and Putumayo .	Its signal doesn't cover Cundinamarca , Boyacá , Tolima , Amazonas , Meta , Huila , Casanare , Caquetá , Guaviare , Vaupés , Vichada , Arauca , and Putumayo .
2316	none	In Kyle 's body , Parallax captured John Stewart , Guy Gardner , and Hal Jordan and brought them to Qward .	none	Parallax captured John Stewart , Guy Gardner , and Hal Jordan in Kyle ’ s body and brought them to Qward .	In Kyle 's body , Parallax didn't capture John Stewart , Guy Gardner , and Hal Jordan and brought them to Qward .
2317	none	The fin is white with black corners .	none	The caudal fin is white with black corners .	The fin is not white with black corners .
2319	none	Pandabeswar CD Block had 1 general college with 1,007 students , 257 institutions for special and non-formal education with 9,690 students	none	The Pandabeswar CD Block had 1 general college with 1,007 students , 257 institutions for special and non-formal education with 9,690 students	Pandabeswar CD Block didn't have 1 general college with 1,007 students , 257 institutions for special and non-formal education with 9,690 students
2320	none	Matt Fishel also created all the artwork for Phillips 's debut album , " Not Thinking Straight " , which was released in April 2013 on Young Lust Records .	none	Matt Fishel also created the entire artwork for Phillips ’ apos ; debut album " Not Thinking Straight " , which was released on Young Lust Records in April 2013 .	Matt Fishel also created all the artwork for Phillips 's debut album , " Thinking Straight " , which was released in April 2013 on Young Lust Records .
2323	none	Two weeks before the invasion , the corps was pulled from the First Army and placed in the Third Army of Omar Bradley .	none	Two weeks before the invasion , the corps was pulled out of the First Army and placed in Omar Bradley 's Third Army .	Two weeks before the invasion , the corps was not pulled from the First Army and placed in the Third Army of Omar Bradley .
2324	none	He joined the Canadian Fencibles in Quebec in 1803 and came to Scotland with them in 1805 .	none	He joined the Canadian Fencibles in Quebec in 1803 , and joined them in 1805 to Scotland .	He didn't join the Canadian Fencibles in Quebec in 1803 and came to Scotland with them in 1805 .
2328	none	The other members included : AcBel , Toshiba , bpl , Corinex Communications , IBEC , Netgear , PCN Technology , Ambient Corporation , Toyo Network Systems and Junaid .	none	Other members included : AcBel , Toshiba , bpl , Corinex Communications , IBEC , Netgear , PCN Technology , Ambient Corporation , Toyo Network Systems , and Junaid .	The other members didn't include : AcBel , Toshiba , bpl , Corinex Communications , IBEC , Netgear , PCN Technology , Ambient Corporation , Toyo Network Systems and Junaid .
2329	none	It flows southwest to meet the Samara Bend of the Volga near Sokolyi Mountains , north of the town of Samara .	none	It flows southwest to meet the Samara Bend of the Volga near Sokolyi Mountains , north of the city of Samara .	It doesn't flow southwest to meet the Samara Bend of the Volga near Sokolyi Mountains , north of the town of Samara .
2331	none	During the Victorian era , Victorian flowers had different meanings : love - bleeding stood for hopeless love or hopelessness in the specific language of the flowers .	none	During the Victorian era , Victorian flowers had different meanings . Love-lies-bleeding stood for hopeless love or hopelessness in the specific language of flowers .	During the Victorian era , Victorian flowers had different meanings : love - bleeding didn't stand for hopeless love or hopelessness in the specific language of the flowers .
2336	none	William Middleton ( or William de Middleton ; died 31 August or 1 September 1288 ) was a medieval Bishop of Norwich .	none	William de Middleton ( or William Middleton , died August 31 or September 1 , 1288 ) was a medieval bishop of Norwich .	William Middleton ( or William de Middleton ; didn't die 31 August or 1 September 1288 ) was a medieval Bishop of Norwich .
2337	none	Due to volatile prices and high capital costs , few deposits without subsidies can be exploited economically .	none	Due to the volatile prices and high capital costs few deposits can be exploited economically without subsidies .	Due to volatile prices and high capital costs , few deposits without subsidies can't be exploited economically .
2345	none	Kinetic Compensation : An increase in the preexponential factors tends to compensate for the increase in activation energy :	none	Kinetic compensation : an increase in the pre-exponential factors tends to compensate for the increase in activation energy :	Kinetic Compensation : An increase in the preexponential factors doesn't tend to compensate for the increase in activation energy :
2350	none	But instead of returning to heaven , Annie decided to join Chris in hell forever .	none	But instead of returning to Heaven , Annie chooses to join Chris forever in Hell .	But instead of returning to heaven , Annie didn't decide to join Chris in hell forever .
2352	none	French Island is a very small uninhabited island located northwest of Barrallier Island in Victoria , Australia .	none	French Island is a very small uninhabited island in the northwest of Barrallier Island , Victoria , Australia .	French Island is not a very small uninhabited island located northwest of Barrallier Island in Victoria , Australia .
2353	none	The Peabody Orlando , near Orlando , Florida opened in 1986 as the second Peabody Hotel .	none	The Peabody Orlando , located near Orlando , Florida , was opened in 1986 as the second Peabody Hotel .	The Peabody Orlando , near Orlando , Florida didn't open in 1986 as the second Peabody Hotel .
2356	none	When Justice Tyler died in 1813 , John Tyler inherited Greenway at the age of 23 .	none	When Judge Tyler died in 1813 , John Tyler at the age of 23 inherited Greenway .	When Justice Tyler died in 1813 , John Tyler didn't inherit Greenway at the age of 23 .
2358	none	It was followed by Jon Morgan ( 2000 -- 2007 ) , Paul Gudgin ( 2007 -- 2008 ) and Kath Mainland ( 2008-2015 ) .	none	She was followed by Jon Morgan ( 2000 -- 2007 ) , Paul Gudgin ( 2007 -- 2008 ) , and Kath Mainland ( 2008-2015 ) .	It was not followed by Jon Morgan ( 2000 -- 2007 ) , Paul Gudgin ( 2007 -- 2008 ) and Kath Mainland ( 2008-2015 ) .
2359	none	Specific light wavelengths contained in the observed light from stars can be separated out and related to the quantized transitions in free gas atoms .	none	Specific light wavelengths contained in the observed light from stars can be separated and related to the quantized transitions in free gas atoms .	Specific light wavelengths contained in the observed light from stars can't be separated out and related to the quantized transitions in free gas atoms .
2360	none	The canonical choice for ( " m " , " n " ) is chosen so that " n " is positive and that is .	none	The canonical choice for ( ( " m " , " n " ) ) is chosen so that " n " is positive and , i.e .	The canonical choice for ( " m " , " n " ) is not chosen so that " n " is positive and that is .
2361	none	The current church , built in June 1885 by the bishop of St. Alban , is not the first to be consecrated in East Hanningfield .	none	The current Church , built by the Bishop of St Albans in June 1885 , is not the first to be consecrated in East Hanningfield .	The current church , built in June 1885 by the bishop of St. Alban , is the first to be consecrated in East Hanningfield .
2362	none	The Izvoarele River is a tributary of the Podriga River in Romania .	none	The river Izvoarele is a tributary of the River Podriga in Romania .	The Izvoarele River is not a tributary of the Podriga River in Romania .
2363	none	It is divided in four " taulkas " : Khanpur , Lakhi , Garhi Yasin and Shikarpur .	none	It is divided into four " Taulkas " : Shikarpur , Lakhi , Garhi Yasin and Khanpur .	It is not divided in four " taulkas " : Khanpur , Lakhi , Garhi Yasin and Shikarpur .
2365	none	This concept of the ( visual ) subjective direction is very old .	none	The concept of ( visual ) subjective direction is very old .	This concept of the ( visual ) subjective direction is not very old .
2368	none	Chandos Leigh , 1st Baron Leigh ( June 27 , 1791 - September 27 , 1850 ) was a British poet and landowner .	none	Chandos Leigh , 1st Baron Leigh ( 27 June 1791 -- 27 September 1850 ) was a minor landowner and British poet .	Chandos Leigh , 1st Baron Leigh ( June 27 , 1791 - September 27 , 1850 ) was not a British poet and landowner .
2369	none	American Express later established its headquarters in a building at the intersection of Jay Street and Hudson Street , and was first called Tribeca section of Manhattan .	none	American Express later established its headquarters in a building at the intersection of Jay Street and Hudson Street , was initially called the Tribeca section of Manhattan .	American Express later didn't establish its headquarters in a building at the intersection of Jay Street and Hudson Street , and was first called Tribeca section of Manhattan .
2372	none	In February 2014 , the opening ceremony for the monument to the victims of the Khojaly massacre was held in Uşak .	none	In February 2014 , the opening ceremony for the monument for the victims of the Khojaly massacre was held in Uşak .	In February 2014 , the opening ceremony for the monument to the victims of the Khojaly massacre was not held in Uşak .
2374	none	It is endemic to Oahu , where it is known only from the northern Koolau Mountains of Hawaii .	none	It is endemic to Oahu , where it is only known by the northern Koolau Mountains of Hawaii .	It is not endemic to Oahu , where it is known only from the northern Koolau Mountains of Hawaii .
2375	none	It is licensed and published in Taiwan by Blu on May 8 , 2007 . The manga is licensed in North America by Sharp Point Press .	none	It is licensed and published in Taiwan by Blu on 8 May 2007 , and is licensed by Sharp Point Press in North America .	It is not licensed and published in Taiwan by Blu on May 8 , 2007 . The manga is licensed in North America by Sharp Point Press .
2376	none	The constituency is in Swansea Bay , situated on the right bank of the River Afan , near its mouth in South Wales .	none	The constituency is located in Swansea Bay , on the right bank of the River Afan , near its mouth in South Wales .	The constituency is not in Swansea Bay , situated on the right bank of the River Afan , near its mouth in South Wales .
2377	none	Smith was elected the ISCB Senior Scientist Award and awarded ISCB Fellow in 2009 by the International Society for Computational Biology .	none	Smith was elected to the ISCB Senior Scientist Award by the International Society for Computational Biology and received the ISCB Fellow in 2009 .	Smith was not elected the ISCB Senior Scientist Award and awarded ISCB Fellow in 2009 by the International Society for Computational Biology .
2378	none	The " Cobblers " fell to 16th in 1991 -- 92 , before they dropped to 20th place in 1992 -- 93 under Phil Chard .	none	The " Cobblers " dropped to 16th in 1991 -- 92 , before plummeting to 20th place in 1992 -- 93 under Phil Chard .	The " Cobblers " didn't fall to 16th in 1991 -- 92 , before they dropped to 20th place in 1992 -- 93 under Phil Chard .
2383	none	A typical party light organ of the 1970s had three spotlights , red , green and blue , for sounds in bass , medium frequency and high frequency .	none	A typical party light organ of the 1970s had three emitters , red , green and blue , for sounds in bass , medium frequency and high frequency .	A typical party light organ of the 1970s didn't have three spotlights , red , green and blue , for sounds in bass , medium frequency and high frequency .
2384	none	Albanian law is codified and based on the French law .	none	The Albanian law is codified and is based on French law .	Albanian law is not codified and based on the French law .
2387	none	When Robin Hunter retired in 1967 , the administration was reorganized and Stokes became medical director and psychiatrist - Chief .	none	When Robin Hunter retired in 1967 , the administration was reorganized and Stokes became Medical Director and Psychiatrist-in-Chief .	When Robin Hunter retired in 1967 , the administration was not reorganized and Stokes became medical director and psychiatrist - Chief .
2389	none	She was born in Usera , Spain ( Madrid ) on April 18 , 1976 .	none	It was born on 18 April 1976 in Usera , Spain ( Madrid ) .	She was not born in Usera , Spain ( Madrid ) on April 18 , 1976 .
2394	none	The Viennese ice revue toured most European countries , including Switzerland , Hungary , Czechoslovakia , Belgium , the Netherlands , Germany , Italy , France and Spain .	none	The Vienna Ice Revue toured through most European countries including Switzerland , Hungary , Czechoslovakia , Belgium , the Netherlands , Germany , Italy , France and Spain .	The Viennese ice revue didn't tour most European countries , including Switzerland , Hungary , Czechoslovakia , Belgium , the Netherlands , Germany , Italy , France and Spain .
2397	none	The small marine blennioid blenny ( " Ecsenius australianus " ) are Australian fish of the genus " Ecsenius " .	none	The small marine Blennioids Blenny ( " Ecsenius australianus " ) are Australian fish of the genus " Ecsenius " .	The small marine blennioid blenny ( " Ecsenius australianus " ) are not Australian fish of the genus " Ecsenius " .
2400	none	The Agnes River is a perennial river of the South Gippsland catchment , located in the West Gippsland region of the Australian state of Victoria .	none	The Agnes River is a multi-year river of the South Gippsland , in the West Gippsland region of the Australian state of Victoria .	The Agnes River is not a perennial river of the South Gippsland catchment , located in the West Gippsland region of the Australian state of Victoria .
2401	none	On 24 July 2013 , John Hodgman appeared on the Maximum Fun Podcast " Judge Brother Ali " as " Expert Witness " .	none	On July 24 , 2013 , John Hodgman appeared on the Maximum Fun podcast " Judge Brother Ali " as an " Expert Witness " .	On 24 July 2013 , John Hodgman didn't appear on the Maximum Fun Podcast " Judge Brother Ali " as " Expert Witness " .
2402	none	In general , Ireland , with the exception of most of Northern Europe , came under the influence of Protestantism .	none	In general , Ireland came under the influence of Protestantism , with the exception of most of northern Europe .	In general , Ireland , with the exception of most of Northern Europe , didn't come under the influence of Protestantism .
2403	none	The father of Ted and Tom was Steve .	none	Steve was the father of Ted and Tom .	The father of Ted and Tom was not Steve .
2408	none	Cassandra Peterson also appeared in Peaches Christ 's " All About Evil " with Patrick Bristow , Mink Stole and Brown .	none	Cassandra Peterson also appeared in Peaches Christi " All About Evil " with Patrick Bristow , Mink Stole and Brown .	Cassandra Peterson also didn't appear in Peaches Christ 's " All About Evil " with Patrick Bristow , Mink Stole and Brown .
2409	none	Danielle , Nadine , and Mark have their pictures visible in the school display case .	none	Mark , Nadine and Danielle have visible their pictures in the school case .	Danielle , Nadine , and Mark don't have their pictures visible in the school display case .
2411	none	New York 's initial possession of parts of Maine ensured a close relationship with other New England colonies like Vermont and a continuing New England influence in the colony .	none	New York 's initial possession of parts of Maine ensured a close relationship with other New England colonies such as Vermont and a continuing New England influence in the colony .	New York 's initial possession of parts of Maine didn't ensure a close relationship with other New England colonies like Vermont and a continuing New England influence in the colony .
2412	none	When water and sewerage companies were privatised in Northern Ireland in 1989 , these services remained public in England and Wales and in Scotland .	none	When water and sewer companies were privatised in Northern Ireland in 1989 , these services remained public in England and Wales and in Scotland .	When water and sewerage companies were privatised in Northern Ireland in 1989 , these services didn't remain public in England and Wales and in Scotland .
2415	none	Robert retaliated against the recalcitrant John by sending a troop of soldiers from Brabant to Bangor .	none	Against the recalcitrant John , Robert presented himself by sending a troop of soldiers from Brabant to Bangor .	Robert didn't retaliate against the recalcitrant John by sending a troop of soldiers from Brabant to Bangor .
2416	none	The only values from " n " to 600000 , for which there are more pythagorean than non-pythagorean odd primes , are for example 26861 and 26862 .	none	For example , the only values of " n " up to 600000 for which there are more Pythagorean than non-Pythagorean odd primes are 26861 and 26862 .	The only values from " n " to 600000 , for which there are more pythagorean than non-pythagorean odd primes , are not for example 26861 and 26862 .
2417	none	He was moved to Macau , joined the Jesuit Order , and died as a martyr in Vietnam in 1737 .	none	He moved to Macao , joined the Jesuit Order and died in 1737 as a martyr in Vietnam .	He was not moved to Macau , joined the Jesuit Order , and died as a martyr in Vietnam in 1737 .
2418	none	Viñac District is one of thirty-three districts of the Lima Region in the Yauyos Province of Peru .	none	District Viñac is one of thirty-three districts in the Lima region in the province of Yauyos in Peru .	Viñac District is not one of thirty-three districts of the Lima Region in the Yauyos Province of Peru .
2420	none	It was the northernmost of several Muslim states in the Horn of Africa , acting as a buffer between Muslim kingdom and the Christian states along the coastal regions .	none	It was the northernmost of several Muslim states in the Horn of Africa , as a buffer between the Muslim kingdom and the Christian states along coastal regions .	It was not the northernmost of several Muslim states in the Horn of Africa , acting as a buffer between Muslim kingdom and the Christian states along the coastal regions .
2421	none	Sir Herbert was re-elected to the new seat of Croydon East and was returned in 1951 .	none	Sir Herbert was re-elected in the new Croydon East seat and was returned in 1951 .	Sir Herbert was not re-elected to the new seat of Croydon East and was returned in 1951 .
2424	none	Karen and Kristoffer have eight children together .	none	Kristoffer had eight known children together with Karen :	Karen and Kristoffer don't have eight children together .
2425	none	InFocus M810 is a smartphone manufactured by InFocus and marketed by Foxconn . It was released on July 31 , 2014 .	none	InFocus M810 is a smartphone manufactured by InFocus and marketed by Foxconn , which was released on July 31 , 2014 .	InFocus M810 is not a smartphone manufactured by InFocus and marketed by Foxconn . It was released on July 31 , 2014 .
2427	none	The Indore district consists of 4 divisions : Depalpur , Sanwer , Indore and Mhow .	none	Indore district consists of 4 divisions ; Depalpur , Sanwer , Indore and Mhow .	The Indore district doesn't consist of 4 divisions : Depalpur , Sanwer , Indore and Mhow .
2428	none	Sandra Klemenschits and Andreja Klepač won the title , defeating Kristina Barrois and Eleni Daniilidou in the final , 6 -- 1 , 6 -- 4 .	none	Sandra Klemenschits and Andreja KlepaÄ won the title and defeated Kristina Barrois and Eleni Daniilidou in the final , 6 -- 1 , 6 -- 4 .	Sandra Klemenschits and Andreja Klepač didn't win the title , defeating Kristina Barrois and Eleni Daniilidou in the final , 6 -- 1 , 6 -- 4 .
2430	none	It has 12 torsal soft spines and 15 to 17 dorsal rays .	none	It has 12 dorsal soft spines , and 15 to 17 dorsal rays .	It doesn't have 12 torsal soft spines and 15 to 17 dorsal rays .
2431	none	Lukaszuk has two daughters , one with his previous wife , news anchor Stacey Brotzel CTV Edmonton and one with his current wife .	none	Lukaszuk has two daughters , one with his former wife , news - anchor Stacey Brotzel CTV Edmonton and one with his current wife .	Lukaszuk doesn't have two daughters , one with his previous wife , news anchor Stacey Brotzel CTV Edmonton and one with his current wife .
2432	none	He taught physics at a number of universities in Germany , Italy , France , England , Lebanon , and Jordan before joining Birzeit University in 1980 .	none	He taught physics at a number of universities in England , Lebanon , France , Germany , Italy and Jordan before he moved to Birzeit University in 1980 .	He didn't teach physics at a number of universities in Germany , Italy , France , England , Lebanon , and Jordan before joining Birzeit University in 1980 .
2436	none	The district also includes some non-contributory buildings , including two modern church complexes , the Harper School and several non-historic houses .	none	The district also includes some non-contributing buildings including two modern church complexes , the Harper School , and several non-historic houses .	The district also doesn't include some non-contributory buildings , including two modern church complexes , the Harper School and several non-historic houses .
2437	none	In March 1833 , Dearborn Township was renamed Redford and the southern half became Pekin on April 1st .	none	In March 1833 , Dearborn Township was renamed Redford and the southern half became Pekin on April 1 .	In March 1833 , Dearborn Township was not renamed Redford and the southern half became Pekin on April 1st .
2438	none	The circulatory anastomosis is further divided into arterial and venous anastomosis .	none	Circulatory anastomosis is further divided into arterial and venous anastomosis .	The circulatory anastomosis is further not divided into arterial and venous anastomosis .
2441	none	The song became the first title song of the main characters , Vincent ( Jay Ryan ) and Catherine ( Kristin Kreuk ) .	none	The song became the first song of the main characters , Catherine ( Kristin Kreuk ) and Vincent ( Jay Ryan ) .	The song didn't become the first title song of the main characters , Vincent ( Jay Ryan ) and Catherine ( Kristin Kreuk ) .
2443	none	The following table lists all the games that the Brazilian national team played in official competitions and friendly games during 2011 .	none	The following table lists all the games played by the Brazilian national team in official competitions and friendly matches during 2011 .	The following table doesn't list all the games that the Brazilian national team played in official competitions and friendly games during 2011 .
2448	none	The following night , Delirious put his problems with Pearce aside to challenge Danielson .	none	The following night , Delirious set aside his problems with Pearce to challenge Danielson .	The following night , Delirious didn't put his problems with Pearce aside to challenge Danielson .
