2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975 -- 76 season of the National Basketball Association was the 30th season of the NBA .	The NBA heart of 1975 -- 76 was the 30th season of the National Basketball Association .
2057	none	Bandra is a neighborhood located in western Mumbai in the state of Maharashtra , India . Many personalities active in Bollywood , cricket and politics reside in Bandra .	none	Bandra is a neighborhood located in western Mumbai in the state of Maharashtra , India Many personalities active in Bollywood , in cricket and politics , live in Bandra .	Bandra is a structure located in western Mumbai in the state of Maharashtra , India . Many personalities active in Bollywood , cricket and politics reside in Bandra .
2060	none	John Hale is played by Xander Berkeley ( as Magistrate Hale ) in the 2014 TV series " Salem " .	none	John Hale was played by Xander Berkeley ( as magistrate hale ) in the 2014 TV series " Salem " .	John Hale is played by Xander Berkeley ( as Magistrate Hale ) in the 2014 control series `` Salem `` .
2061	none	A tribute to Jamie Parker and Claire Martin , the American actor Seth MacFarlane was the singer , Frank Sinatra .	none	A tribute to Jamie Parker and Claire Martin . American actor Seth MacFarlane was the lead singer , with Frank Sinatra .	A contribution to Jamie Parker and Claire Martin , the American actor Seth MacFarlane was the singer , Frank Sinatra .
2065	none	About the song Billboard wrote : " You know the beat , now you catch the groove .	none	Billboard wrote about the song : " You know the beat , now catch the groove .	About the court Billboard wrote : `` You know the beat , now you catch the groove .
2072	none	In return , Grimoald granted him his daughter in marriage and gave him the duchy of Spoleto following the death of Atto .	none	In return , Grimoald gave him his daughter to marriage and granted him the duchy of Spoleto after the death of Atto .	In revolution , Grimoald granted him his daughter in marriage and gave him the duchy of Spoleto following the death of Atto .
2073	none	As with most languages , the written language tends to use a more formal register than the language spoken .	none	As with most languages , written language tends to use a more formal register than spoken language .	As with most languages , the written evaluation tends to use a more formal register than the language spoken .
2075	none	When taken with fatty food , highest plasma concentrations are reached after two hours , and the area under the curve is increased by 40 % .	none	The highest plasma concentrations are reached after two hours when taking them with fatty food , and the area under the curve is increased by 40 % .	When taken with fatty evaluation , highest plasma concentrations are reached after two hours , and the area under the curve is increased by 40 % .
2078	none	In the 2015 regional elections , after Tosi was excluded by the Federal Party , Gidoni was elected to the Veneto Regional Council in the province of Belluno .	none	In the 2015 regional election , after Tosi was sidelined by the federal party , Gidoni was elected to the Regional Council of Veneto in the province of Belluno .	In the 2015 regional elections , after Tosi was excluded by the Federal Party , Gidoni was elected to the Veneto Regional Council in the sign of Belluno .
2081	none	The title track was a single - five - top in May 2013 on the Texas Music - Chart .	none	The title track was a single-five top on the Texas Music chart in May 2013 .	The court track was a single - five - top in May 2013 on the Texas Music - Chart .
2087	none	Chabrian Jattan is a village in the Mirpur Tehsil of Azad Kashmir of Mirpur District , Pakistan .	none	Chabrian Jattan is a village in Mirpur Tehsil by Azad Kashmir in the Mirpur district of Pakistan .	Chabrian Jattan is a team in the Mirpur Tehsil of Azad Kashmir of Mirpur District , Pakistan .
2088	none	However , Szabo 's method of Sybil-spending protection was vulnerable to double attacks .	none	Szabo 's method of sybilizing protection , however , was vulnerable to double attacks .	However , Szabo 's use of Sybil-spending protection was vulnerable to double attacks .
2090	none	Trenčianske Jastrabie is a village and municipality in Trenčín District in the Trenčín Region of northwestern Slovakia .	none	Trenčianske Jastrabie is a village and municipality in the district of Trenčín in the region of Trenčín in northwestern Slovakia .	Trenčianske Jastrabie is a order and municipality in Trenčín District in the Trenčín Region of northwestern Slovakia .
2093	none	Jérémy Chardy won the title and struck Rubén Ramírez Hidalgo in the Final 6 -- 1 , 6 -- 4 .	none	Jérémy Chardy won the title defeating Rubén Ramírez Hidalgo in the final 6 -- 1 , 6 -- 4 .	Jérémy Chardy won the operation and struck Rubén Ramírez Hidalgo in the Final 6 -- 1 , 6 -- 4 .
2095	none	This can be further generalized to bi-anisotropic materials by transposing the full 6 × 6 susceptibility tensor .	none	This can be generalized by transposing the complete 6 × 6 susceptibility tensor to bi-anisotropic materials .	This can be further generalized to bi-anisotropic materials by transposing the full 6 × 6 demand tensor .
2105	none	Needs are also developed according to the existential categories of being , having , doing and interacting , and from these dimensions a 36 - cells - matrix is defined .	none	Needs are also developed according to the existential categories of being , having , doing and interacting , and from these dimensions , a 36 cell matrix is defined	Needs are also developed according to the existential categories of being , having , doing and mind , and from these dimensions a 36 - cells - matrix is defined .
2106	none	Dielectric elastomers ( DEs ) are smart material systems that produce large strains .	none	Dielectric elastomers ( DEs ) are smart material systems which produce large strains .	Dielectric elastomers ( DEs ) are smart ranking systems that produce large strains .
2108	none	In addition to strictly modern scientific work , de Broglie thought and wrote about the philosophy of science , including the value of scientific discoveries .	none	In addition to the strictly modern scientific work , de Broglie thought and wrote about the philosophy of science , including the value of the scientific discoveries .	In city to strictly modern scientific work , de Broglie thought and wrote about the philosophy of science , including the value of scientific discoveries .
2109	none	Former AFL players Tarkyn Lockyer ( Collingwood ) and Ryan Brabazon ( Sydney ) , Jason Mandzij ( Gold Coast ) started their football careers playing for the Kangas .	none	The former AFL players Tarkyn Lockyer ( Collingwood ) and Ryan Brabazon ( Sydney ) , Jason Mandzij ( Gold Coast ) , started their football careers and played for the Kangas .	Former AFL players Tarkyn Lockyer ( Collingwood ) and Ryan Brabazon ( Sydney ) , Jason Mandzij ( Gold Coast ) started their today careers playing for the Kangas .
2114	none	InFocus M810 is a smartphone marketed by InFocus and manufactured by Foxconn . It was released on July 31 , 2014 .	none	InFocus M810 is a smartphone distributed by InFocus and manufactured by Foxconn . It was released on July 31 , 2014 .	InFocus M810 is a faith marketed by InFocus and manufactured by Foxconn . It was released on July 31 , 2014 .
2116	none	In addition to the generic information described above , military applications include weapons system and sensor data such as :	none	Military applications , in addition to the generic information described above , also include weapon system and sensor data such as :	In examination to the generic information described above , military applications include weapons system and sensor data such as :
2117	none	In Europe he appeared in Le Lido in Paris and sang with Betty Grable in the London West End Musical " Belle Starr " .	none	In Europe , he appeared at Le Lido in Paris and sang with Betty Grable in the London West End musical " Belle Starr " .	In Europe he appeared in Le Lido in Paris and excitement with Betty Grable in the London West End Musical `` Belle Starr `` .
2118	none	David Tatuashvili , another Georgian partisan of Soviet origin , described the funeral as follows :	none	Another Georgian Partisan of Soviet origin , David Tatuashvili , described the funeral as follows :	David Tatuashvili , another Georgian center of Soviet origin , described the funeral as follows :
2119	none	With Apex Marketing , Dracco Company Ltd. created the basic version of the game and established the online universe of Chaotic .	none	Dracco Company Ltd. with Apex Marketing then created the basic version of the game and established the online universe of Chaotic .	With Apex Marketing , Dracco Company Ltd. created the basic publicity of the game and established the online universe of Chaotic .
2120	none	The last album was recorded with bassist Nina Souto and drummer Arturo Garcia .	none	" Sketch " was the last album recorded with bassist Nina Souto and drummer Arturo Garcia .	The last advantage was recorded with bassist Nina Souto and drummer Arturo Garcia .
2132	none	Initials can be placed either before or after their first name when they are used .	none	Initials , when used , can be placed either before or after their first name .	Initials can be placed either before or after their first website when they are used .
2133	none	Ruhollah Khomeini was appointed Chief Public Prosecutor of the Special Court for the Clergy in 1987 by Fallahian and led the trial of Mehdi Hashemi .	none	In 1987 Ruhollah Khomeini was appointed by Fallahian as chief prosecutor of the Special Court for the Clergy and led the trial against Mehdi Hashemi .	Ruhollah Khomeini was appointed Chief Public Prosecutor of the Special Court for the Clergy in 1987 by Fallahian and led the efficiency of Mehdi Hashemi .
2134	none	When water and sewer companies were privatised in England and Wales in 1989 , these services remained public in Northern Ireland and in Scotland .	none	When water and sewerage companies were privatised in 1989 in England and Wales , these services remained public in Northern Ireland and Scotland .	When emotion and sewer companies were privatised in England and Wales in 1989 , these services remained public in Northern Ireland and in Scotland .
2135	none	She is a wife of Tania Cagnotto and mother of Giorgio Cagnotto .	none	She is the wife of Tania Cagnotto and mother of Giorgio Cagnotto .	She is a activity of Tania Cagnotto and mother of Giorgio Cagnotto .
2136	none	In Golitsyno there is a railway station of the same name on the Moscow Railway Minsk .	none	A railway station of the same name on the Moscow -- Minsk railway is located in Golitsyno .	In Golitsyno there is a issue station of the same name on the Moscow Railway Minsk .
2139	none	The group was founded in Las Vegas , and later relocated to Los Angeles .	none	The group was founded in Las Vegas and then relocated to Los Angeles .	The today was founded in Las Vegas , and later relocated to Los Angeles .
2140	none	This is the traditional dress of Zomi , the male clothes are " Puan Laisan " and the female dresses are " Puandum " .	none	This is the Zomi traditional dresses . The male dress are " Puan Laisan " and the female dress are " Puandum "	This is the traditional enforcement of Zomi , the male clothes are `` Puan Laisan `` and the female dresses are `` Puandum `` .
2143	none	The river Văcăria is a tributary of the River Pilugul in Romania .	none	The Văcăria River is a tributary of the Pilugul River in Romania .	The visit Văcăria is a tributary of the River Pilugul in Romania .
2145	none	SAfm was the first radio station of the SABC and the country 's first public radio station .	none	SAfm was the SABC 's first radio station , and the country 's first public radio station .	SAfm was the first state station of the SABC and the country 's first public radio station .
2146	none	They can be used not only in predicative role ( as in the above examples ) , but also in attributive role :	none	They can be used not only in the predicative role ( as in the above examples ) , but also in the attributive role :	They can be used not only in predicative structure ( as in the above examples ) , but also in attributive role :
2152	none	This tour was made two weeks after the Australia tour of New Zealand . The Wallabies lost the only test with the All Blacks .	none	This tour was made two weeks after the Australian tour of New Zealand , the Wallabies lost the only test with the All Blacks .	This diplomat was made two weeks after the Australia tour of New Zealand . The Wallabies lost the only test with the All Blacks .
2153	none	The Eastern Province comprises the former provinces of Kibungo and Umutara , most of Kigali Rural , and part of Byumba .	none	The eastern province comprises the former provinces of Kibungo and Umutara , the majority of Kigali Rural and part of Byumba .	The Eastern Province comprises the former provinces of Kibungo and Umutara , most of Kigali Rural , and competition of Byumba .
2154	none	Antillophos bahamensis is a species of sea snail , a true gastropod mollusk in the family Buccinidae , the marine whelks .	none	Antillophos bahamensis is a sea snail species , a true gastropod mollusk in the Buccinidae family , the whelks marine .	Antillophos ranking is a species of sea snail , a true gastropod mollusk in the family Buccinidae , the marine whelks .
2155	none	This name change meant that the Nazi party would be “ placed ” under the NSRL .	none	This name change meant that the Nazi Party would be " placed under " the NSRL .	This world change meant that the Nazi party would be “ placed ” under the NSRL .
2156	none	He was elected on the American ticket to the 29th United States Congress , holding office from March 4 , 1845 , to March 3 , 1847 .	none	He was elected on the American ticket to the 29th United States Congress , which operates from March 4 , 1845 to March 3 , 1847 .	He was elected on the American essay to the 29th United States Congress , holding office from March 4 , 1845 , to March 3 , 1847 .
2160	none	It is widespread in Europe but is never as common as L. sponsa .	none	It is widespread in Europe , but it is never as common as L. sponsa .	It is widespread in Europe but is never as common as L. ranking .
2163	none	Pixar also studied the Disney Cruise Line and visited Las Vegas , which was helpful for understanding artificial lighting .	none	Pixar also studied the Disney Cruise Line and visited Las Vegas , which was helpful in understanding artificial lighting .	Pixar also studied the Disney Cruise Line and visited Las Vegas , which was helpful for understanding artificial medal .
2165	none	In both cases , he had been selected by Eugenio Scalfari as a critic , first for the daily newspaper and then for the weekly edition .	none	In both cases he had been chosen as critic by Eugenio Scalfari , first for the daily and then for the weekly edition .	In both cases , he had been selected by Eugenio Scalfari as a game , first for the daily newspaper and then for the weekly edition .
2168	none	The Staatskapelle Halle is a symphony orchestra based in Halle , Saxony-Anhalt , Germany .	none	The Staatskapelle Halle is a symphony orchestra based in Halle , Saxony-Anhalt .	The Staatskapelle Halle is a headquarters orchestra based in Halle , Saxony-Anhalt , Germany .
2172	none	Elizabeth Rebecca Guynn was born in St. Louis , Missouri , the son of a Baptist minister , George L. White Sr. and his wife , White .	none	Rebecca Guynn was born in St. Louis , Missouri , the son of Baptist priest George L. White Sr. and his wife White .	Elizabeth Rebecca Guynn was born in St. Louis , Missouri , the court of a Baptist minister , George L. White Sr. and his wife , White .
2173	none	After " The Kids " was recorded with the drummer Nick Van Gelder , all " Spcae cowboy " tracks were recorded with Derrick except " The Kids " .	none	After " The Kids " were recorded with drummer Nick Van Gelder , all " Spcae cowboy " tracks except " The Kids " was re-recorded with Derrick .	After `` The Kids `` was recorded with the heart Nick Van Gelder , all `` Spcae cowboy `` tracks were recorded with Derrick except `` The Kids `` .
2174	none	He was sent to Rangoon , Burma ( now Yangon , Myanmar ) , for further study and then taught in Thailand .	none	He was sent to Rangoon , Burma ( now Yangon , Myanmar ) and taught in Thailand for further studies .	He was sent to Rangoon , Burma ( now Yangon , Myanmar ) , for further defeat and then taught in Thailand .
2177	none	After the death of her first husband , Katharina Dalton married Tom Dalton , who passed away in 1992 .	none	After the death of her first husband , Katharina Dalton remarried Tom Dalton , who passed away in 1992 .	After the horn of her first husband , Katharina Dalton married Tom Dalton , who passed away in 1992 .
2179	none	Ottawa County is a civil township of Park Township in the U.S. state of Michigan .	none	Ottawa County is a civil community of Park Township in the U.S. state of Michigan .	Ottawa County is a civil competition of Park Township in the U.S. state of Michigan .
2182	none	The Pălăoaia River is a tributary of the Muereasca River in Romania .	none	The river Pălăoaia is a tributary of the Muereasca River in Romania .	The Pălăoaia River is a medal of the Muereasca River in Romania .
2184	none	Major League Baseball 2K7 ( or MLB 2K7 ) is a Major League Baseball Licensed Baseball - Simulation Videogame of 2K Sports developed and published by Kush Games .	none	Major League Baseball 2K7 ( or MLB 2K7 ) is a Major League Baseball licensed baseball simulation video game developed by 2K Sports and published by Kush Games .	Major League Baseball 2K7 ( or MLB 2K7 ) is a Major League Baseball Licensed Baseball - plan Videogame of 2K Sports developed and published by Kush Games .
2185	none	He was born in Quebec around 1760 and settled in Detroit ( then part of Scotland ) in 1782 .	none	He was born in Québec around 1760 and settled in Detroit in 1782 ( then a part of Scotland ) .	He was born in Quebec around 1760 and settled in Detroit ( then order of Scotland ) in 1782 .
2188	none	In 1920 , he represented Italy at the Oceanographic Congress in Cairo , and in 1924 represented the geographical society at the International Geographical Congress in Madrid .	none	In 1920 he represented Italy at the Oceanographic Congress in Cairo , and in 1924 he represented the geographical society at the International Geographical Congress in Madrid .	In 1920 , he represented Italy at the Oceanographic Congress in Cairo , and in 1924 represented the geographical island at the International Geographical Congress in Madrid .
2190	none	Tătarca river is a tributary of the Cârlibaba River in Romania .	none	The Tătarca River is a tributary of the Cârlibaba River in Romania .	Tătarca volleyball is a tributary of the Cârlibaba River in Romania .
2192	none	Colleen gets a job in the diner , where she becomes good friends with Leah Poulos ( Ada Nicodemou ) .	none	Colleen gets a job at the Diner where she becomes good friends with Leah Poulos ( Ada Nicodemou ) .	Colleen gets a progress in the diner , where she becomes good friends with Leah Poulos ( Ada Nicodemou ) .
2195	none	The 2009 - 2010 National Hockey League season was the 17th season of operation ( 16th season of play ) for the Anaheim Ducks franchise .	none	The season 2009-2010 National Hockey League was the 17th season of the operation ( 16th season of the game ) for the Anaheim Ducks franchise .	The 2009 - 2010 National Hockey League supply was the 17th season of operation ( 16th season of play ) for the Anaheim Ducks franchise .
2196	none	One of them , Micheál Martin , said that Fianna Fáil - leader Shane Ross had contacted her the previous day and that she would meet the following week .	none	One of these , Micheál Martin , said Fianna Fáil leader Shane Ross had contacted them the previous day and that they would meet the following week .	One of them , Micheál Martin , said that Fianna Fáil - industry Shane Ross had contacted her the previous day and that she would meet the following week .
2197	none	The second method is written when the number of elements in each row is the same and is known at the time of program use .	none	The second method is written when the number of elements in each row is the same and known at the time the program is used .	The second generation is written when the number of elements in each row is the same and is known at the time of program use .
2198	none	In 1951 , the Cogioba Council , based in Bowling Green , merged with the West Kentucky Area Council to form the Audubon Council , which provides a good third of Kentucky .	none	In 1951 , the Cogioba Council , headquartered in Bowling Green merged with the West Kentucky Area Council to form the Audubon Council serving a good third of Kentucky .	In 1951 , the Cogioba Council , based in Bowling Green , merged with the West Kentucky Area Council to form the Audubon Council , which provides a good enforcement of Kentucky .
2200	none	It is also convenient to sometimes define the purely covariant version by	none	It is also convenient to sometimes define a purely covariant version by :	It is also convenient to sometimes define the purely covariant role by
2202	none	The field also included Olympian ( and in 1932 Olympic champion ) John Anderson of Cornell and future world record player Paul Jessup of Washington in 1928 .	none	The field also included 1928 Olympian ( and 1932 Olympic champion ) John Anderson of Cornell , and future world record holder Paul Jessup of Washington .	The kind also included Olympian ( and in 1932 Olympic champion ) John Anderson of Cornell and future world record player Paul Jessup of Washington in 1928 .
2206	none	In 2001 he founded in Zagreb , Croatia , the publishing house and the graphic workshop " Petikat " , most recently he worked on animation films at the Zagreb film .	none	In 2001 in Zagreb , Croatia he founded the publishing house and graphic workshop " Petikat " . Most recently he worked on animated films at Zagreb Film .	In 2001 he founded in Zagreb , Croatia , the activity house and the graphic workshop `` Petikat `` , most recently he worked on animation films at the Zagreb film .
2210	none	ABC Books has released seven paperback novels , each based on a particular episode and from the perspective of a single character .	none	ABC Books has released seven paperbacks - novels , each based on a particular episode and from the perspective of a single character .	ABC Books has released seven spirit novels , each based on a particular episode and from the perspective of a single character .
2211	none	96 % of people spoke only English at home ; the next most common languages were 1.5 % Samoan , 1 % Vietnamese .	none	96 % of people spoke at home only English , the second most common languages were 1.5 % Samoan , 1 % Vietnamese .	96 % of people spoke only English at parliament ; the next most common languages were 1.5 % Samoan , 1 % Vietnamese .
2214	none	Seleucus was a wealthy Christian Roman Senator of Greek descent who lived in the first half of the 4th century and second half of the 5th century .	none	Seleucus was a wealthy Christian Roman senator of Greek origin who lived in the first half of the 4th century and the second half of the fifth century .	Seleucus was a wealthy Christian Roman Senator of Greek opportunity who lived in the first half of the 4th century and second half of the 5th century .
2215	none	Yves Préfontaine ( born 1 February , 1937 , in Quebec ) is a Canadian writer based in Montreal , Quebec .	none	Yves Préfontaine ( born February 1 , 1937 in Quebec ) is a Canadian writer in Montreal , Quebec , Canada .	Yves Préfontaine ( born 1 February , 1937 , in Quebec ) is a Canadian head based in Montreal , Quebec .
2218	none	The last album was recorded with bassist Arturo Garcia and drummer Nina Souto .	none	" Sketch " was the last album recorded with bassist Arturo Garcia and drummer Nina Souto .	The last signing was recorded with bassist Arturo Garcia and drummer Nina Souto .
2221	none	Finsch 's monitor was only known by Blanche Bay , Ralum and Massawa in New Britain .	none	Finsch 's monitor was only known from Blanche Bay , Ralum , and Massawa in New Britain .	Finsch 's industry was only known by Blanche Bay , Ralum and Massawa in New Britain .
2223	none	He originally played with HC Spartak Moscow in KHL during the 2010 season -- 11 Continental Hockey League .	none	He originally played with HC Spartak Moscow in the KHL during the 2010 -- 11 Kontinental Hockey League season .	He originally played with HC Spartak Moscow in KHL during the 2010 direction -- 11 Continental Hockey League .
2224	none	The city of Mačvanska Mitrovica includes the town of Sremska Mitrovica , and several villages .	none	The town of Mačvanska Mitrovica includes the city of Sremska Mitrovica and several villages .	The spirit of Mačvanska Mitrovica includes the town of Sremska Mitrovica , and several villages .
2225	none	The municipality is divided into the barrios of Asunción , Isabel , Realengo and San José .	none	The municipality is divided into Barrios Asunción , Isabel , Realengo and San José .	The language is divided into the barrios of Asunción , Isabel , Realengo and San José .
2226	none	Swami Brahmananda ( 1863 -- 1922 ) , whose original name was Rakhal Chandra Ghosh , was son of a zemindar in the Basirhat area .	none	Swami Brahmananda ( 1863 -- 1922 ) , whose original name was Rakhal Chandra Ghosh , was the son of a cemindary in the Basirhat area .	Swami Brahmananda ( 1863 -- 1922 ) , whose original language was Rakhal Chandra Ghosh , was son of a zemindar in the Basirhat area .
2227	none	His father has called him Ali , and his nickname was Murtaza .	none	His father called him Ali and his nickname was Murtaza .	His type has called him Ali , and his nickname was Murtaza .
2228	none	He gives his name as Karl Marx , which types a service officer as " Carl Marx " .	none	He gives his name as Karl Marx , which a duty officer types as " Carl Marx " .	He gives his city as Karl Marx , which types a service officer as `` Carl Marx `` .
2231	none	The station is located next to the Kintetsu Nagoya Line , the terminal of Nagoya Railroad , and the Kintetsu Nagoya Station , the Meitetsu Nagoya Station terminal .	none	The station is adjacent to Kintetsu Nagoya Line , the terminal of the Nagoya Railroad , and Kintetsu Nagoya Station , the terminal of the Meitetsu Nagoya Station .	The friendship is located next to the Kintetsu Nagoya Line , the terminal of Nagoya Railroad , and the Kintetsu Nagoya Station , the Meitetsu Nagoya Station terminal .
2233	none	Thus , the optimal language up to this additive constant is universal .	none	Therefore , the optimal language is universal up to this additive constant .	Thus , the optimal today up to this additive constant is universal .
2234	none	Alan Dale returned as Tom Morrow , a character who left " NCIS " in the third season 's episode " Kill Ari ( Part I ) " .	none	Alan Dale returned as Tom Morrow , a character who left " NCIS " in the episode " Kill Ari ( Part I ) " of the third season .	Alan Dale returned as Tom Morrow , a emotion who left `` NCIS `` in the third season 's episode `` Kill Ari ( Part I ) `` .
2236	none	The river Nadeş is a tributary of the River Ciortosu in Romania .	none	The Nadeş River is a tributary of the Ciortosu River in Romania .	The atmosphere Nadeş is a tributary of the River Ciortosu in Romania .
2240	none	Nietzsche admired Wagner 's ability to express his own suffering and misery in large creations . He criticized Wagner 's attempt to produce short musical works .	none	He admired Wagner 's ability to express his own suffering and misery in great creations , and criticized Wagner 's attempt to produce short musical works .	Nietzsche admired Wagner 's opponent to express his own suffering and misery in large creations . He criticized Wagner 's attempt to produce short musical works .
2244	none	Villeneuve had no answer to Andretti 's pace and the gap increased rapidly .	none	Villeneuve had no response to Andretti 's pace , and the gap increased rapidly .	Villeneuve had no theme to Andretti 's pace and the gap increased rapidly .
2245	none	The hand kills them and she is forced to kill her , which also attacks the sale .	none	The hand kills her and she is forced to kill it , which also attacks the sale .	The negotiator kills them and she is forced to kill her , which also attacks the sale .
2251	none	He lives with a humble and single ambition : to dominate the world ( the whole planet ) .	none	He lives with a single and " humble " ambition : to master the world ( the whole planet ) .	He lives with a humble and single bureau : to dominate the world ( the whole planet ) .
2252	none	He spent the final years of his life in France and died in Paris .	none	The last years of his life he spent in France and died in Paris .	He spent the final years of his role in France and died in Paris .
2256	none	The names " googol " and " googolplex " were invented by Newman 's nephew , Milton Sirotta , and introduced in Kasner and Edward Kasner 's 1940 book .	none	The names " Googol " and " Googolplex " were invented by Newman 's nephew Milton Sirotta and introduced to the book of Kasner and Edward Kasner in 1940 .	The names `` googol `` and `` googolplex `` were invented by Newman 's control , Milton Sirotta , and introduced in Kasner and Edward Kasner 's 1940 book .
2257	none	Chongming is Shanghai 's only county and lies north of the Shanghai Peninsula on three inhabited islands in the Yangtze estuary : Chongming , Changxing , and Hengsha .	none	Chongming is the only county in Shanghai north of the Shanghai Peninsula on three inhabited Yangtze islands - Chongming , Changxing and Hengsha .	Chongming is Shanghai 's only defeat and lies north of the Shanghai Peninsula on three inhabited islands in the Yangtze estuary : Chongming , Changxing , and Hengsha .
2260	none	Allen recruited McBride for his band , Christian McBride & Inside Straight .	none	McBride for his band , Christian McBride " Inside Straight recruited .	Allen recruited McBride for his testing , Christian McBride & Inside Straight .
2261	none	The first was a four lane studio session and the second six tracks at the Reading Festival .	none	The first was a four track studio session and the second six tracks recorded at the Reading Festival .	The first was a four march studio session and the second six tracks at the Reading Festival .
2262	none	A short biography , and brief summaries of Brodsky 's longer fiction and critical reception can be found here :	none	A brief biography and short summaries of Brodsky 's long fiction and critical reception can be found here :	A short event , and brief summaries of Brodsky 's longer fiction and critical reception can be found here :
2263	none	Argento ( born September 20 , 1975 in Argento , Aria Maria Vittoria Rossa Argento ) is an Italian actress , singer , model , activist and director .	none	Asia Argento ( ; born Aria Maria Vittoria Rossa Argento ; 20 September 1975 ) is an Italian actress , singer , model , activist and director .	Argento ( born September 20 , 1975 in Argento , Aria Maria Vittoria Rossa Argento ) is an Italian time , singer , model , activist and director .
2264	none	In the fourth novel , " Dead to the World " , he is bitten repeatedly by a werepanther and becomes a kidnapped and bitten werepanther .	none	In the fourth novel " Dead to the World " , he is repeatedly bitten by a Werepanther and becomes a kidnapped and bitten Werepanther .	In the fourth prize , `` Dead to the World `` , he is bitten repeatedly by a werepanther and becomes a kidnapped and bitten werepanther .
2265	none	The station is adjacent to Kintetsu Nagoya Line , the terminal of the Nagoya Railroad , and Kintetsu Nagoya Station , the terminal of the Meitetsu Nagoya Station .	none	The station is located next to the Kintetsu Nagoya line , the Nagoya Railroad terminal , and the Kintetsu Nagoya Station , the terminal of Meitetsu Nagoya Station .	The time is adjacent to Kintetsu Nagoya Line , the terminal of the Nagoya Railroad , and Kintetsu Nagoya Station , the terminal of the Meitetsu Nagoya Station .
2267	none	There are two pumping stations outside the city limits and a part of the water service provided by York to Toronto :	none	There are two pumping stations located outside of the city limits and part of the water service provided to Toronto by York Region :	There are two pumping stations outside the ability limits and a part of the water service provided by York to Toronto :
2268	none	A whole issue of the beautiful Sicilian magazine of musical cultures , " Avidi Lumi " , was recently dedicated to Davide Perez .	none	Recently a whole issue of the beautiful Sicilian journal of musical cultures , " Avidi Lumi " , was dedicated to Davide Perez .	A whole revolution of the beautiful Sicilian magazine of musical cultures , `` Avidi Lumi `` , was recently dedicated to Davide Perez .
2269	none	" Pantheon and Other Roleplaying Games " included a total of five different storytelling games or five different competitive scenarios , as they all use the same " Narrative " .	none	" Pantheon and other role-playing games " included a total of five different storytelling games or five different competitive scenarios , as they all use the same " narrative " .	`` testing and Other Roleplaying Games `` included a total of five different storytelling games or five different competitive scenarios , as they all use the same `` Narrative `` .
2271	none	One important distinction is clear , though .	none	One important distinction though is clear .	One important website is clear , though .
2272	none	They had five children besides Quintin : Juan , Phillip , Willie , Patrick and Lucy .	none	They had five children alongside Quintin : Lucy , Phillip , Juan , Patrick and Willie .	They had five children besides inspection : Juan , Phillip , Willie , Patrick and Lucy .
2273	none	Melesio Morales ( sometimes written Melisio Morales ) ( 4 December 1838 - 12 May 1908 ) was a Mexican composer .	none	Melesio Morales ( sometimes spelled Melisio Morales ) ( December 4 , 1838 -- May 12 , 1908 ) was a Mexican composer .	Melesio Morales ( sometimes written Melisio Morales ) ( 4 December 1838 - 12 May 1908 ) was a Mexican sign .
2275	none	William Debenham , born in Alpheton , Suffolk in 1794 , joined Thomas Clark in a partnership to lead a draper 's store at Wigmore Street 44 in London .	none	Born in 1794 in Alpheton in Suffolk , William Debenham joined Thomas Clark in a partnership to manage a draper 's store at 44 Wigmore Street in London .	William Debenham , born in Alpheton , Suffolk in 1794 , joined Thomas Clark in a structure to lead a draper 's store at Wigmore Street 44 in London .
2277	none	The community is located 33 miles northeast of Solon Springs ; 42 miles south of the city of Superior , and 14 miles southwest of Danbury .	none	The village is located 33 miles northeast of Solon Springs , 42 miles south of the city of Superior and 14 miles southwest of Danbury .	The ownership is located 33 miles northeast of Solon Springs ; 42 miles south of the city of Superior , and 14 miles southwest of Danbury .
2278	none	It was abandoned in 1446 , and destroyed and rebuilt in 1551 .	none	It was abandoned in 1446 and destroyed in 1551 and rebuilt .	It was abandoned in 1446 , and destroyed and food in 1551 .
2279	none	As a child , Beatrice met Campbell on Edie Martyn ( Jonathan Dakers ) .	none	As a child Beatrice Campbell met Edie Martyn ( Jonathan Dakers ) .	As a violation , Beatrice met Campbell on Edie Martyn ( Jonathan Dakers ) .
2282	none	" Continental Celtic " is a geographic , not a linguistic grouping of ancient Celtic languages .	none	" Continental Celtic " is a geographic , not a linguistic , grouping of the ancient Celtic languages .	`` Continental Celtic `` is a geographic , not a linguistic chance of ancient Celtic languages .
2286	none	These are to know the physical world and external qualities	none	These are intended to know the physical world and external qualities .	These are to know the physical day and external qualities
2287	none	Mount Darwin ( alternate : Darwin ) is one of seven districts in the Zimbabwe province of Mashonaland Central .	none	Mount Darwin ( alternatively : Darwin ) is one of seven districts in the province of Mashonaland Central in Zimbabwe .	Mount Darwin ( watch : Darwin ) is one of seven districts in the Zimbabwe province of Mashonaland Central .
2292	none	In 1925 her series of illustrated crossword puzzles for children was syndicated in several newspapers .	none	Her series of illustrated crossword puzzles for children was published in several newspapers in 1925 .	In 1925 her end of illustrated crossword puzzles for children was syndicated in several newspapers .
