2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975–76 NBA season was the 30th season of the NBA.	of 1975 -- 76 was the 30th season of the National Basketball Association .
2233	none	Thus , the optimal language up to this additive constant is universal .	none	Thus, the optimal language up to this additive constant is universal.	optimal language up to this additive constant is universal .
2234	none	Alan Dale returned as Tom Morrow , a character who left " NCIS " in the third season 's episode " Kill Ari ( Part I ) " .	none	Alan Dale returned as Tom Morrow, a character left " NCIS" in the third season episode " Kill Ari (part I)".	, a character who left `` NCIS `` in the third season 's episode `` Kill Ari ( Part I ) `` .
2236	none	The river Nadeş is a tributary of the River Ciortosu in Romania .	none	The river Nadeş is a tributary of the Ciortosu River in Romania.	The river tributary of the River Ciortosu in Romania .
2240	none	Nietzsche admired Wagner 's ability to express his own suffering and misery in large creations . He criticized Wagner 's attempt to produce short musical works .	none	Nietzsche admires Wagner's ability to express his own suffering and misery in great creations. He criticizes Wagner's attempt to produce short musical works.	Nietzsche express his own suffering and misery in large creations . He criticized Wagner 's attempt to produce short musical works .
2244	none	Villeneuve had no answer to Andretti 's pace and the gap increased rapidly .	none	Villeneuve had no response to Andretti's pace and the gap rose quickly.	Villeneuve to Andretti 's pace and the gap increased rapidly .
2245	none	The hand kills them and she is forced to kill her , which also attacks the sale .	none	The hand kills her and she's forced to kill her, which also attacks the sale.	The she is forced to kill her , which also attacks the sale .
2251	none	He lives with a humble and single ambition : to dominate the world ( the whole planet ) .	none	He lives with a modest and only ambition: to dominate the world (the whole planet).	He and single ambition : to dominate the world ( the whole planet ) .
2252	none	He spent the final years of his life in France and died in Paris .	none	He spent the last years of his life in France and died in Paris.	He spent of his life in France and died in Paris .
2256	none	The names " googol " and " googolplex " were invented by Newman 's nephew , Milton Sirotta , and introduced in Kasner and Edward Kasner 's 1940 book .	none	The names " googol " and " googolplex " were invented by Newman's nephew, Milton Sirotta, and introduced in Kasner and Edward Kasner's 1940 book.	`` googolplex `` were invented by Newman 's nephew , Milton Sirotta , and introduced in Kasner and Edward Kasner 's 1940 book .
2257	none	Chongming is Shanghai 's only county and lies north of the Shanghai Peninsula on three inhabited islands in the Yangtze estuary : Chongming , Changxing , and Hengsha .	none	Chongming is Shanghai's only county and lies north of the Shanghai Peninsula on three inhabited islands at the Yangtze mouth: Chongming, Changxing, and Hengsha.	and lies north of the Shanghai Peninsula on three inhabited islands in the Yangtze estuary : Chongming , Changxing , and Hengsha .
2260	none	Allen recruited McBride for his band , Christian McBride & Inside Straight .	none	Allen recruits McBride for his band, Christian McBride & Inside Straight.	for his band , Christian McBride & Inside Straight .
2261	none	The first was a four lane studio session and the second six tracks at the Reading Festival .	none	The first was a four-track studio session and the second six tracks at the Reading Festival.	The first studio session and the second six tracks at the Reading Festival .
2262	none	A short biography , and brief summaries of Brodsky 's longer fiction and critical reception can be found here :	none	A short biography and short summaries of Brodsky's longer fiction and critical reception can be found here :	and brief summaries of Brodsky 's longer fiction and critical reception can be found here :
2263	none	Argento ( born September 20 , 1975 in Argento , Aria Maria Vittoria Rossa Argento ) is an Italian actress , singer , model , activist and director .	none	Aria Maria Vittoria Rossa Argento (born 3 September 1975) is an Italian actress, actress, model, activist and director.	Argento ( born , Aria Maria Vittoria Rossa Argento ) is an Italian actress , singer , model , activist and director .
2264	none	In the fourth novel , " Dead to the World " , he is bitten repeatedly by a werepanther and becomes a kidnapped and bitten werepanther .	none	In the fourth novel "Death for the World" he is repeatedly bitten by a Werpanther and becomes a kidnapped and bitten Werpanther.	In the fourth novel World `` , he is bitten repeatedly by a werepanther and becomes a kidnapped and bitten werepanther .
2265	none	The station is adjacent to Kintetsu Nagoya Line , the terminal of the Nagoya Railroad , and Kintetsu Nagoya Station , the terminal of the Meitetsu Nagoya Station .	none	The station is located next to the Kintetsu Nagoya Line, the Nagoya Railroad Terminal, and Kintetsu Nagoya Station, the Meitetsu Nagoya Station Terminal.	The station is adjacent to of the Nagoya Railroad , and Kintetsu Nagoya Station , the terminal of the Meitetsu Nagoya Station .
2267	none	There are two pumping stations outside the city limits and a part of the water service provided by York to Toronto :	none	There are two pump stations outside the city limits and part of the water service from York to Toronto:	There are two city limits and a part of the water service provided by York to Toronto :
2268	none	A whole issue of the beautiful Sicilian magazine of musical cultures , " Avidi Lumi " , was recently dedicated to Davide Perez .	none	A whole edition of the beautiful Sicilian magazine of musical cultures, "Avidi Lumi", was recently dedicated to Davide Perez.	A whole magazine of musical cultures , `` Avidi Lumi `` , was recently dedicated to Davide Perez .
2269	none	" Pantheon and Other Roleplaying Games " included a total of five different storytelling games or five different competitive scenarios , as they all use the same " Narrative " .	none	" Pantheon and other role plays " comprised a total of five different storytelling games or five different competition scenarios since they all use the same "narratives ".	`` included a total of five different storytelling games or five different competitive scenarios , as they all use the same `` Narrative `` .
2271	none	One important distinction is clear , though .	none	An important difference, however, is clear.	distinction is clear , though .
2272	none	They had five children besides Quintin : Juan , Phillip , Willie , Patrick and Lucy .	none	They had five children except Quintin: Juan, Phillip, Willie, Patrick and Lucy.	They besides Quintin : Juan , Phillip , Willie , Patrick and Lucy .
2273	none	Melesio Morales ( sometimes written Melisio Morales ) ( 4 December 1838 - 12 May 1908 ) was a Mexican composer .	none	He was a Mexican composer.	Melesio Morales ( ) ( 4 December 1838 - 12 May 1908 ) was a Mexican composer .
2275	none	William Debenham , born in Alpheton , Suffolk in 1794 , joined Thomas Clark in a partnership to lead a draper 's store at Wigmore Street 44 in London .	none	William Debenham, born in Alpheton, Suffolk in 1794, joined Thomas Clark in a partnership to run a Draper's business at Wigmore Street 44 in London.	William Debenham in 1794 , joined Thomas Clark in a partnership to lead a draper 's store at Wigmore Street 44 in London .
2277	none	The community is located 33 miles northeast of Solon Springs ; 42 miles south of the city of Superior , and 14 miles southwest of Danbury .	none	It is located 33 miles northeast of Solon Springs, 42 miles south of Superior and 14 miles southwest of Danbury.	The community is located Springs ; 42 miles south of the city of Superior , and 14 miles southwest of Danbury .
2278	none	It was abandoned in 1446 , and destroyed and rebuilt in 1551 .	none	It was abandoned in 1446 and destroyed and rebuilt in 1551.	in 1446 , and destroyed and rebuilt in 1551 .
2279	none	As a child , Beatrice met Campbell on Edie Martyn ( Jonathan Dakers ) .	none	As a child, Beatrice met Campbell on Edie Martyn ( Jonathan Dakers).	, Beatrice met Campbell on Edie Martyn ( Jonathan Dakers ) .
2282	none	" Continental Celtic " is a geographic , not a linguistic grouping of ancient Celtic languages .	none	"Continental Celtic" is a geographical, not a linguistic grouping of ancient Celtic languages.	`` is a geographic , not a linguistic grouping of ancient Celtic languages .
2286	none	These are to know the physical world and external qualities	none	These should know the physical world and the external qualities.	to know the physical world and external qualities
2287	none	Mount Darwin ( alternate : Darwin ) is one of seven districts in the Zimbabwe province of Mashonaland Central .	none	Mount Darwin is one of seven districts in the province of Mashonaland Central, Zimbabwe.	Mount Darwin ) is one of seven districts in the Zimbabwe province of Mashonaland Central .
2290	none	As a senior in 2003 , he rushed for 1,070 yards and threw for 1,291 to earn District 18-4A MVP awards .	none	As a senior in 2003, he hurried for 1,070 yards and threw for 1,291 District 18-4A MVP awards to earn.	2003 , he rushed for 1,070 yards and threw for 1,291 to earn District 18-4A MVP awards .
2292	none	In 1925 her series of illustrated crossword puzzles for children was syndicated in several newspapers .	none	In 1925, her series of illustrated crosswords for children was syndicated in several newspapers.	In of illustrated crossword puzzles for children was syndicated in several newspapers .
2293	none	The central part of the watershed of Nescopeck Creek , south of the northernmost hill , including the mouth of Black Creek , is also in this series .	none	The central part of the watershed of Nescopeck Creek, south of the northernmost hill, including the mouth of Black Creek, is also in this series.	The central part , south of the northernmost hill , including the mouth of Black Creek , is also in this series .
2295	none	Potter married in 1945 . He and his wife Mary ( a weaver ) had two children , Anne ( born 1947 ) and Julian ( born 1952 ) .	none	Potter married in 1945. He and his wife Mary (a weaver) had two children, Anne (born 1947) and Julian (born 1952).	Potter his wife Mary ( a weaver ) had two children , Anne ( born 1947 ) and Julian ( born 1952 ) .
2297	none	Hard Candy is the fourth studio album by Counting Crows , published in the United States on June 7 , 2002 and the following day in the United Kingdom .	none	Hard Candy is the fourth studio album by Counting Crows.	album by Counting Crows , published in the United States on June 7 , 2002 and the following day in the United Kingdom .
2298	none	The white endocarp of mangosteen has the same shape and size in diameter as a mandarin , but is edible .	none	The white endocarp of Mangosteen has the same shape and size in diameter as a mandarin, but is edible.	The has the same shape and size in diameter as a mandarin , but is edible .
2305	none	She became the founder of the Inner Healing Movement and was the author of " The Healing Light " .	none	She became the founder of the inner healing movement and was the author of "The Healing Light".	She the Inner Healing Movement and was the author of `` The Healing Light `` .
2311	none	Its signal covers Cundinamarca , Boyacá , Tolima , Amazonas , Meta , Huila , Casanare , Caquetá , Guaviare , Vaupés , Vichada , Arauca , and Putumayo .	none	Its signal includes Cundinamarca, Boyacá, Tolima, Amazonas, Meta, Huila, Casanare, Caquetá, Guaviare, Vaupés, Vichada, Arauca and Putumayo.	Its signal covers Amazonas , Meta , Huila , Casanare , Caquetá , Guaviare , Vaupés , Vichada , Arauca , and Putumayo .
2316	none	In Kyle 's body , Parallax captured John Stewart , Guy Gardner , and Hal Jordan and brought them to Qward .	none	In Kyle's body, Parallax captured John Stewart, Guy Gardner, and Hal Jordan and brought them to Qward.	In Parallax captured John Stewart , Guy Gardner , and Hal Jordan and brought them to Qward .
2317	none	The fin is white with black corners .	none	The Finn is white with black corners.	The white with black corners .
2319	none	Pandabeswar CD Block had 1 general college with 1,007 students , 257 institutions for special and non-formal education with 9,690 students	none	Pandabeswar CD Block had 1 general university with 1,007 students, 257 institutions for special and non-formal education with 9.690 students	1 general college with 1,007 students , 257 institutions for special and non-formal education with 9,690 students
2320	none	Matt Fishel also created all the artwork for Phillips 's debut album , " Not Thinking Straight " , which was released in April 2013 on Young Lust Records .	none	Matt Fishel also created the entire artwork for Phillip's debut album "Not Thinking Straight", which was released on Young Lust Records in April 2013.	Matt Fishel also created all album , `` Not Thinking Straight `` , which was released in April 2013 on Young Lust Records .
2323	none	Two weeks before the invasion , the corps was pulled from the First Army and placed in the Third Army of Omar Bradley .	none	Two weeks before the invasion, the Corps was pulled out of the First Army and taken to the Third Army by Omar Bradley.	, the corps was pulled from the First Army and placed in the Third Army of Omar Bradley .
2324	none	He joined the Canadian Fencibles in Quebec in 1803 and came to Scotland with them in 1805 .	none	In 1803 he joined the Canadian Fencibles in Quebec and came with them to Scotland in 1805.	Fencibles in Quebec in 1803 and came to Scotland with them in 1805 .
2328	none	The other members included : AcBel , Toshiba , bpl , Corinex Communications , IBEC , Netgear , PCN Technology , Ambient Corporation , Toyo Network Systems and Junaid .	none	The other members were: AcBel, Toshiba, bpl, Corinex Communications, IBEC, Netgear, PCN Technology, Ambient Corporation, Toyo Network Systems and Junaid.	, Toshiba , bpl , Corinex Communications , IBEC , Netgear , PCN Technology , Ambient Corporation , Toyo Network Systems and Junaid .
2329	none	It flows southwest to meet the Samara Bend of the Volga near Sokolyi Mountains , north of the town of Samara .	none	It flows southwest to meet the Samara Bend of the Volga near Sokolyi Mountains, north of the city of Samara.	It the Samara Bend of the Volga near Sokolyi Mountains , north of the town of Samara .
2331	none	During the Victorian era , Victorian flowers had different meanings : love - bleeding stood for hopeless love or hopelessness in the specific language of the flowers .	none	During the Victorian era, Victorian flowers had different meanings: love - bleeding stood for hopeless love or hopelessness in the specific language of flowers.	During the Victorian era : love - bleeding stood for hopeless love or hopelessness in the specific language of the flowers .
2336	none	William Middleton ( or William de Middleton ; died 31 August or 1 September 1288 ) was a medieval Bishop of Norwich .	none	He was the first Bishop of Norwich, and was the first Bishop of Norwich.	William Middleton ; died 31 August or 1 September 1288 ) was a medieval Bishop of Norwich .
2337	none	Due to volatile prices and high capital costs , few deposits without subsidies can be exploited economically .	none	Due to volatile prices and high capital costs, few deposits can be used economically without subsidies.	Due to volatile costs , few deposits without subsidies can be exploited economically .
2345	none	Kinetic Compensation : An increase in the preexponential factors tends to compensate for the increase in activation energy :	none	Kinetic compensation : An increase in pre-exponential factors compensates for the increase in activation energy :	Kinetic in the preexponential factors tends to compensate for the increase in activation energy :
2350	none	But instead of returning to heaven , Annie decided to join Chris in hell forever .	none	But instead of returning to heaven, Annie decided to join Chris forever in hell.	But instead heaven , Annie decided to join Chris in hell forever .
2352	none	French Island is a very small uninhabited island located northwest of Barrallier Island in Victoria , Australia .	none	French island is a very small uninhabited island northwest of Barrallier Island in Victoria, Australia.	very small uninhabited island located northwest of Barrallier Island in Victoria , Australia .
2353	none	The Peabody Orlando , near Orlando , Florida opened in 1986 as the second Peabody Hotel .	none	The Peabody Orlando, near Orlando, Florida opened in 1986 as the second Peabody Hotel.	, near Orlando , Florida opened in 1986 as the second Peabody Hotel .
2356	none	When Justice Tyler died in 1813 , John Tyler inherited Greenway at the age of 23 .	none	When Justice Tyler died in 1813, John Tyler inherited Greenway at the age of 23.	died in 1813 , John Tyler inherited Greenway at the age of 23 .
2358	none	It was followed by Jon Morgan ( 2000 -- 2007 ) , Paul Gudgin ( 2007 -- 2008 ) and Kath Mainland ( 2008-2015 ) .	none	It was followed by Jon Morgan ( 2000 - 2007 ), Paul Gudgin ( 2007 - 2008 ) and Kath Mainland ( 2008-2015 ).	It was followed by 2007 ) , Paul Gudgin ( 2007 -- 2008 ) and Kath Mainland ( 2008-2015 ) .
2359	none	Specific light wavelengths contained in the observed light from stars can be separated out and related to the quantized transitions in free gas atoms .	none	Specific wavelengths of light contained in the observed light of stars can be separated out and related to the quantized transitions in free gas atoms.	Specific light light from stars can be separated out and related to the quantized transitions in free gas atoms .
2360	none	The canonical choice for ( " m " , " n " ) is chosen so that " n " is positive and that is .	none	The canonical choice for ( " m ", " n ") is chosen in such a way that " n " is positive and that is.	The canonical choice , `` n `` ) is chosen so that `` n `` is positive and that is .
2361	none	The current church , built in June 1885 by the bishop of St. Alban , is not the first to be consecrated in East Hanningfield .	none	The current church, built in June 1885 by the Bishop of St. Alban, is not the first church consecrated in East Hanningfield.	The June 1885 by the bishop of St. Alban , is not the first to be consecrated in East Hanningfield .
2362	none	The Izvoarele River is a tributary of the Podriga River in Romania .	none	The Izvoarele River is a tributary of the Podriga River in Romania.	is a tributary of the Podriga River in Romania .
2363	none	It is divided in four " taulkas " : Khanpur , Lakhi , Garhi Yasin and Shikarpur .	none	It is divided into four " taulkas": Khanpur, Lakhi, Garhi Yasin and Shikarpur.	It `` taulkas `` : Khanpur , Lakhi , Garhi Yasin and Shikarpur .
2365	none	This concept of the ( visual ) subjective direction is very old .	none	This concept of (visual) subjective direction is very old.	This concept visual ) subjective direction is very old .
2368	none	Chandos Leigh , 1st Baron Leigh ( June 27 , 1791 - September 27 , 1850 ) was a British poet and landowner .	none	Chandos Leigh, 1st Baron Leigh (June 27, 1791 - September 27, 1850) was a British poet and landowner.	Chandos Leigh June 27 , 1791 - September 27 , 1850 ) was a British poet and landowner .
2369	none	American Express later established its headquarters in a building at the intersection of Jay Street and Hudson Street , and was first called Tribeca section of Manhattan .	none	American Express later established its headquarters in a building at the intersection of Jay Street and Hudson Street, and was first called Tribeca Section of Manhattan.	American Express later established the intersection of Jay Street and Hudson Street , and was first called Tribeca section of Manhattan .
2372	none	In February 2014 , the opening ceremony for the monument to the victims of the Khojaly massacre was held in Uşak .	none	In February 2014, the opening ceremony for the memorial to the victims of the Khojaly massacre took place in Uşak.	In February ceremony for the monument to the victims of the Khojaly massacre was held in Uşak .
2374	none	It is endemic to Oahu , where it is known only from the northern Koolau Mountains of Hawaii .	none	It is endemic to Oahu, where it is only known from the northern Koolau Mountains of Hawaii.	It is endemic it is known only from the northern Koolau Mountains of Hawaii .
2375	none	It is licensed and published in Taiwan by Blu on May 8 , 2007 . The manga is licensed in North America by Sharp Point Press .	none	It is licensed and published in Taiwan by Blu on May 8, 2007. The Manga is licensed in North America by Sharp Point Press.	It is licensed and on May 8 , 2007 . The manga is licensed in North America by Sharp Point Press .
2376	none	The constituency is in Swansea Bay , situated on the right bank of the River Afan , near its mouth in South Wales .	none	The constituency is located in Swansea Bay on the right bank of the Afan River near its mouth in South Wales.	The constituency is on the right bank of the River Afan , near its mouth in South Wales .
2377	none	Smith was elected the ISCB Senior Scientist Award and awarded ISCB Fellow in 2009 by the International Society for Computational Biology .	none	Smith was elected to the ISCB Senior Scientist Award and was awarded the ISCB Fellow by the International Society for Computational Biology in 2009.	ISCB Senior Scientist Award and awarded ISCB Fellow in 2009 by the International Society for Computational Biology .
2378	none	The " Cobblers " fell to 16th in 1991 -- 92 , before they dropped to 20th place in 1992 -- 93 under Phil Chard .	none	The "Cobblers" fell to the 16th in 1991 -- 92 before moving to the 20th place in 1992 -- 93 under Phil Chard.	to 16th in 1991 -- 92 , before they dropped to 20th place in 1992 -- 93 under Phil Chard .
2383	none	A typical party light organ of the 1970s had three spotlights , red , green and blue , for sounds in bass , medium frequency and high frequency .	none	A typical party light organ of the 1970s had three headlights, red, green and blue, for sounds in bass, medium frequency and high frequency.	A 1970s had three spotlights , red , green and blue , for sounds in bass , medium frequency and high frequency .
2384	none	Albanian law is codified and based on the French law .	none	Albanian law is codified and based on French law.	Albanian codified and based on the French law .
2387	none	When Robin Hunter retired in 1967 , the administration was reorganized and Stokes became medical director and psychiatrist - Chief .	none	When Robin Hunter retired in 1967, the administration was reorganized and Stokes became medical director and psychiatrist chief.	in 1967 , the administration was reorganized and Stokes became medical director and psychiatrist - Chief .
2389	none	She was born in Usera , Spain ( Madrid ) on April 18 , 1976 .	none	She was born on April 18, 1976 in Usera, Spain ( Madrid).	in Usera , Spain ( Madrid ) on April 18 , 1976 .
2394	none	The Viennese ice revue toured most European countries , including Switzerland , Hungary , Czechoslovakia , Belgium , the Netherlands , Germany , Italy , France and Spain .	none	Vienna's Eisrevue toured most European countries, including Switzerland, Hungary, Czechoslovakia, Belgium, the Netherlands, Germany, Italy, France and Spain.	The Viennese ice including Switzerland , Hungary , Czechoslovakia , Belgium , the Netherlands , Germany , Italy , France and Spain .
2397	none	The small marine blennioid blenny ( " Ecsenius australianus " ) are Australian fish of the genus " Ecsenius " .	none	Ecsenius australianus is an Australian fish of the genus Ecsenius.	The small marine Ecsenius australianus `` ) are Australian fish of the genus `` Ecsenius `` .
2400	none	The Agnes River is a perennial river of the South Gippsland catchment , located in the West Gippsland region of the Australian state of Victoria .	none	The Agnes River is a river in Victoria, Australia.	perennial river of the South Gippsland catchment , located in the West Gippsland region of the Australian state of Victoria .
2401	none	On 24 July 2013 , John Hodgman appeared on the Maximum Fun Podcast " Judge Brother Ali " as " Expert Witness " .	none	On July 24, 2013, John Hodgman appeared on the Maximum Fun Podcast "Judge Brother Ali" as "Expert Witness".	On 24 appeared on the Maximum Fun Podcast `` Judge Brother Ali `` as `` Expert Witness `` .
2402	none	In general , Ireland , with the exception of most of Northern Europe , came under the influence of Protestantism .	none	In general, Ireland, with the exception of most Northern Europe, came under the influence of Protestantism.	In with the exception of most of Northern Europe , came under the influence of Protestantism .
2403	none	The father of Ted and Tom was Steve .	none	The father of Ted and Tom was Steve.	of Ted and Tom was Steve .
2408	none	Cassandra Peterson also appeared in Peaches Christ 's " All About Evil " with Patrick Bristow , Mink Stole and Brown .	none	Cassandra Peterson also appeared in Peaches Christ's "All about Evil" with Patrick Bristow, Mink Stole and Braun.	Cassandra Peterson Christ 's `` All About Evil `` with Patrick Bristow , Mink Stole and Brown .
2409	none	Danielle , Nadine , and Mark have their pictures visible in the school display case .	none	Danielle, Nadine, and Mark have their pictures visible in the school showcase.	Danielle , Mark have their pictures visible in the school display case .
2411	none	New York 's initial possession of parts of Maine ensured a close relationship with other New England colonies like Vermont and a continuing New England influence in the colony .	none	New York's initial possession of parts of Maine provided a close relationship with other New England colonies such as Vermont and a sustained New England influence in the colony.	New of Maine ensured a close relationship with other New England colonies like Vermont and a continuing New England influence in the colony .
2412	none	When water and sewerage companies were privatised in Northern Ireland in 1989 , these services remained public in England and Wales and in Scotland .	none	When water and wastewater companies were privatised in Northern Ireland in 1989, these services remained public in England and Wales as well as in Scotland.	When water in Northern Ireland in 1989 , these services remained public in England and Wales and in Scotland .
2415	none	Robert retaliated against the recalcitrant John by sending a troop of soldiers from Brabant to Bangor .	none	Robert took revenge on the rebellious John by sending a troop of soldiers from Brabant to Bangor.	Robert retaliated John by sending a troop of soldiers from Brabant to Bangor .
2416	none	The only values from " n " to 600000 , for which there are more pythagorean than non-pythagorean odd primes , are for example 26861 and 26862 .	none	The only values of "n" to 600000, for which there are more pythagorean than non-pythagorean odd prime numbers, are for example 26861 and 26862.	The only 600000 , for which there are more pythagorean than non-pythagorean odd primes , are for example 26861 and 26862 .
2417	none	He was moved to Macau , joined the Jesuit Order , and died as a martyr in Vietnam in 1737 .	none	He was sent to Macau, joined the Jesuit order, and died as a martyr in Vietnam in 1737.	Macau , joined the Jesuit Order , and died as a martyr in Vietnam in 1737 .
2418	none	Viñac District is one of thirty-three districts of the Lima Region in the Yauyos Province of Peru .	none	Viñac District is one of 33 districts of the Lima region in the province of Yauyos, Peru.	Viñac thirty-three districts of the Lima Region in the Yauyos Province of Peru .
2420	none	It was the northernmost of several Muslim states in the Horn of Africa , acting as a buffer between Muslim kingdom and the Christian states along the coastal regions .	none	It was the northernmost of several Muslim states on the Horn of Africa, as a buffer between the Muslim kingdom and the Christian states along the coastal regions.	Muslim states in the Horn of Africa , acting as a buffer between Muslim kingdom and the Christian states along the coastal regions .
2421	none	Sir Herbert was re-elected to the new seat of Croydon East and was returned in 1951 .	none	Sir Herbert was again elected to the new seat of Croydon East and returned in 1951.	Sir to the new seat of Croydon East and was returned in 1951 .
2424	none	Karen and Kristoffer have eight children together .	none	Karen and Kristoffer have eight children together.	Kristoffer have eight children together .
2425	none	InFocus M810 is a smartphone manufactured by InFocus and marketed by Foxconn . It was released on July 31 , 2014 .	none	InFocus M810 is a smartphone manufactured by InFocus and marketed by Foxconn. It was released on July 31, 2014.	InFocus M810 is InFocus and marketed by Foxconn . It was released on July 31 , 2014 .
2427	none	The Indore district consists of 4 divisions : Depalpur , Sanwer , Indore and Mhow .	none	The district of Indore consists of 4 divisions: Depalpur, Sanwer, Indore and Mhow.	The of 4 divisions : Depalpur , Sanwer , Indore and Mhow .
2428	none	Sandra Klemenschits and Andreja Klepač won the title , defeating Kristina Barrois and Eleni Daniilidou in the final , 6 -- 1 , 6 -- 4 .	none	Sandra Klemenschits and Andreja Klepač won the title and defeated Kristina Barrois and Eleni Daniilidou in the final, 6 - 1, 6 - 4.	Sandra the title , defeating Kristina Barrois and Eleni Daniilidou in the final , 6 -- 1 , 6 -- 4 .
2430	none	It has 12 torsal soft spines and 15 to 17 dorsal rays .	none	It has 12 torsal soft spines and 15 to 17 dorsal rays.	It has spines and 15 to 17 dorsal rays .
2431	none	Lukaszuk has two daughters , one with his previous wife , news anchor Stacey Brotzel CTV Edmonton and one with his current wife .	none	Lukaszuk has two daughters, one with his former wife, news anchor Stacey Brotzel CTV Edmonton and one with his current wife.	one with his previous wife , news anchor Stacey Brotzel CTV Edmonton and one with his current wife .
2432	none	He taught physics at a number of universities in Germany , Italy , France , England , Lebanon , and Jordan before joining Birzeit University in 1980 .	none	He taught physics at a number of universities in Germany, Italy, France, England, Lebanon and Jordan before joining Birzeit University in 1980.	He universities in Germany , Italy , France , England , Lebanon , and Jordan before joining Birzeit University in 1980 .
2436	none	The district also includes some non-contributory buildings , including two modern church complexes , the Harper School and several non-historic houses .	none	The district also includes some non-contributory buildings, including two modern church complexes, the Harper School and several non-historical houses.	The district also , including two modern church complexes , the Harper School and several non-historic houses .
2437	none	In March 1833 , Dearborn Township was renamed Redford and the southern half became Pekin on April 1st .	none	In March 1833, Dearborn Township was renamed Redford and the southern half was renamed Pekin on 1 March 1833.	In Township was renamed Redford and the southern half became Pekin on April 1st .
2438	none	The circulatory anastomosis is further divided into arterial and venous anastomosis .	none	Circulating anastoma is further divided into arterial and venous anastoma.	The is further divided into arterial and venous anastomosis .
2441	none	The song became the first title song of the main characters , Vincent ( Jay Ryan ) and Catherine ( Kristin Kreuk ) .	none	The song became the first title song of the main characters, Vincent (Jay Ryan ) and Catherine ( Kristin Kreuk ).	The song of the main characters , Vincent ( Jay Ryan ) and Catherine ( Kristin Kreuk ) .
2443	none	The following table lists all the games that the Brazilian national team played in official competitions and friendly games during 2011 .	none	The following table lists all games played by the Brazilian national team in official competitions and friendship games in 2011.	The following games that the Brazilian national team played in official competitions and friendly games during 2011 .
2448	none	The following night , Delirious put his problems with Pearce aside to challenge Danielson .	none	The following night, Delirious put aside his problems with Pearce to challenge Danielson.	The following put his problems with Pearce aside to challenge Danielson .
2451	none	" Holocaust " , inaugurated in Lincoln Park in November 1984 , was created by the sculptor George Segal .	none	"Holocaust", inaugurated in Lincoln Park in November 1984, was created by sculptor George Segal.	`` Holocaust `` Park in November 1984 , was created by the sculptor George Segal .
2452	none	The local method of identical local inverse tomography is suitable in a situation in which :	none	The local method of identical local inverse tomography is suitable in a situation where :	The local local inverse tomography is suitable in a situation in which :
2454	none	Alfonso Enrique Ponce Martínez ( born December 8 , 1971 in Chiva , Valencia , Spain ) , known as Enrique Ponce , is a famous Spanish bullfighter .	none	He was born in Chiva, Valencia, Spain.	Alfonso Enrique Ponce 1971 in Chiva , Valencia , Spain ) , known as Enrique Ponce , is a famous Spanish bullfighter .
2455	none	It became one of the four British chemical companies which merged in 1926 with Brunner Mond , Nobel Explosives and United Alkali Company to form Imperial Chemical Industries .	none	It became one of the four British chemical companies that merged with Brunner Mond, Nobel Explosives and United Alkali Company to form Imperial Chemical Industries in 1926.	British chemical companies which merged in 1926 with Brunner Mond , Nobel Explosives and United Alkali Company to form Imperial Chemical Industries .
2458	none	Hummer pursued a broadcasting career briefly in 1996 and worked for TVG Network , a horse racing network .	none	In 1996, Hummer briefly pursued a radio career and worked for TVG Network, a horse racing network.	Hummer briefly in 1996 and worked for TVG Network , a horse racing network .
2462	none	The Gradis family was Jewish and was probably moved from Portugal to Bordeaux around 1495 .	none	The Gradis family was Jewish and was probably moved from Portugal to Bordeaux around 1495.	The Jewish and was probably moved from Portugal to Bordeaux around 1495 .
2463	none	Kadria then shot Milić Krstić twice and fled .	none	Kadria shot Milić Krstić twice and fled.	shot Milić Krstić twice and fled .
2469	none	It arrived in Australia in August 2006 and debuted in New Zealand in early 2007 .	none	It arrived in Australia in August 2006 and debuted in New Zealand at the beginning of 2007.	Australia in August 2006 and debuted in New Zealand in early 2007 .
2471	none	These prohibitions are rarely enforced , and viewing private satellite broadcasts in North Korean homes is legal .	none	These prohibitions are rarely enforced, and viewing private satellite broadcasts in North Korean homes is legal.	enforced , and viewing private satellite broadcasts in North Korean homes is legal .
2473	none	Lauderdale also played in the CBA , China , Venezuela , Cyprus , Lebanon , Saudi Arabia , Iran , Spain , the UK and the United Arab Emirates .	none	Lauderdale also played in the CBA, China, Venezuela, Cyprus, Lebanon, Saudi Arabia, Iran, Spain, Great Britain and the United Arab Emirates.	Lauderdale also played Venezuela , Cyprus , Lebanon , Saudi Arabia , Iran , Spain , the UK and the United Arab Emirates .
2474	none	Jeppe Tengbjerg ( born 28 December 1973 ) is a Danish football manager and former football player .	none	He was born in Copenhagen, Denmark, and is a former Danish footballer and coach.	28 December 1973 ) is a Danish football manager and former football player .
2475	none	In 1955 , Johannes Herman Johannes married Annie Marie Gilbertine Amalo .	none	In 1955, Johannes Herman married John Annie Marie Gilbertine Amalo.	In Johannes Herman Johannes married Annie Marie Gilbertine Amalo .
2476	none	VLC systems generally apply common coding and modulation techniques to achieve robustness against specific TLM disturbances .	none	VLC systems generally use common coding and modulation techniques to achieve robustness against specific TLM faults.	apply common coding and modulation techniques to achieve robustness against specific TLM disturbances .
