2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975–76 NBA season was the 30th season of the NBA.	The NBA season of 1975 -- 76 was not the 30th season of the National Basketball Association .
1762	none	He was part of the Danish team that won the silver medal in men 's gymnastics in 1920 , the Swedish system event in 1920 .	none	He was part of the Danish team that won the silver medal in men's gymnastics in 1920, the Swedish system event in 1920.	He was not part of the Danish team that won the silver medal in men 's gymnastics in 1920 , the Swedish system event in 1920 .
1763	none	It also adds the personality of the character Audrey Hepburn , played by Holly Golightly .	none	It also adds the personality of character Audrey Hepburn, played by Holly Golightly.	It also doesn't add the personality of the character Audrey Hepburn , played by Holly Golightly .
1766	none	Jarvis Bay is a summer village in Alberta , Canada , located on the eastern shore of Sylvan Lake south of Jarvis Bay Provincial Park .	none	Jarvis Bay is a summer village in Alberta, Canada, on the eastern shore of Sylvan Lake south of Jarvis Bay Provincial Park.	Jarvis Bay is not a summer village in Alberta , Canada , located on the eastern shore of Sylvan Lake south of Jarvis Bay Provincial Park .
1773	none	The Los Angeles Recording School is a division of the Los Angeles Film School , accredited by ACCSC , the Career Schools and Colleges Accreditation Commission .	none	The Los Angeles Recording School is a department of the Los Angeles Film School accredited by the ACCSC, the Career Schools and Colleges Accreditation Commission.	The Los Angeles Recording School is not a division of the Los Angeles Film School , accredited by ACCSC , the Career Schools and Colleges Accreditation Commission .
1774	none	In 1939 , he joined Larry Clinton 's band and moved to Claude Thornhill in 1941 , to Will Bradley in 1942 .	none	He joined Larry Clinton's band in 1939 and moved to Claude Thornhill in 1941, to Will Bradley in 1942.	In 1939 , he didn't join Larry Clinton 's band and moved to Claude Thornhill in 1941 , to Will Bradley in 1942 .
1776	none	The radical party of the people ( Narodna radikalna stranka ) was founded as a radical party in 1881 , but from 1919 it developed into a conservative direction .	none	The radical party of the people (Narodna radicala stranka ) was founded in 1881 as a radical party, but from 1919 it developed into a conservative direction.	The radical party of the people ( Narodna radikalna stranka ) was not founded as a radical party in 1881 , but from 1919 it developed into a conservative direction .
1778	none	Jeremy Horn lives in his hometown of Memphis , with his wife Denise and children Judah , Liam and Daisy .	none	Jeremy Horn lives in his hometown of Memphis, with his wife Denise and children Judah, Liam and Daisy.	Jeremy Horn doesn't live in his hometown of Memphis , with his wife Denise and children Judah , Liam and Daisy .
1779	none	As professor of Sociology at ETH Zurich , he worked on evolutionary game theory and agent-based computer simulations of social processes and phenomena .	none	As a professor of sociology at ETH Zurich, he worked on evolutionary game theory and agent-based computer simulations of social processes and phenomena.	As professor of Sociology at ETH Zurich , he didn't work on evolutionary game theory and agent-based computer simulations of social processes and phenomena .
1780	none	Kuklinski told him , after Hoffman gave him the money , that the deal was a cunning .	none	Kuklinski told him after Hoffman gave him the money that the deal was a trick.	Kuklinski didn't tell him , after Hoffman gave him the money , that the deal was a cunning .
1785	none	The poetic cosmogony of Thales , who made water the first element , can be seen as a natural excess of this pre-socratic thinking .	none	The poetic cosmogony of Thales, which made water the first element, can be seen as a natural surplus of this presocratic thinking.	The poetic cosmogony of Thales , who made water the first element , can't be seen as a natural excess of this pre-socratic thinking .
1788	none	The series was written by Butch Guice by Ed Brubaker and illustrated by Bryan Hitch .	none	The series was written by Butch Guice by Ed Brubaker and illustrated by Bryan Hitch.	The series was not written by Butch Guice by Ed Brubaker and illustrated by Bryan Hitch .
1789	none	Paavo Mikkonen ( born January 25 , 1942 ) is a former Finnish sports shooter .	none	He was born in Stockholm in 1942.	Paavo Mikkonen ( born January 25 , 1942 ) is not a former Finnish sports shooter .
1790	none	Nicklas Kulti defeated Yevgeny Kafelnikov 6 -- 7 , 6 -- 3 , 6 -- 4	none	Nicklas Kulti defeated Evgeny Kafelnikov 6 -- 7, 6 -- 3, 6 -- 4	Nicklas Kulti didn't defeat Yevgeny Kafelnikov 6 -- 7 , 6 -- 3 , 6 -- 4
1793	none	Mudzuri defeated ZANU-PF candidate Amos Midzi in the March 2002 mayoral election by a large margin , receiving 262,275 votes against 56,796 votes for Midzi .	none	Mudzuri defeated ZANU-PF candidate Amos Midzi in the March 2002 mayoral election by 262.275 votes to 56,796 for Midzi.	Mudzuri didn't defeat ZANU-PF candidate Amos Midzi in the March 2002 mayoral election by a large margin , receiving 262,275 votes against 56,796 votes for Midzi .
1794	none	It surrounds the modern city of Lakhish and the ancient city of Kiryat Gat .	none	It surrounds the modern city of Lakhish and the old city of Kiryat Gat.	It doesn't surround the modern city of Lakhish and the ancient city of Kiryat Gat .
1796	none	In the narrative , between the current and the next season , we found out that Guido is dead by a car accident .	none	In the story, between the current and next season, we found out that Guido is dead in a car accident.	In the narrative , between the current and the next season , we didn't find out that Guido is dead by a car accident .
1797	none	The Noir Bois , a Swiss settlement and the Paleolithic settlement Pré Monsieur are performed as a national heritage of Paleolithic and Medieval significance .	none	The Noir Bois, a Swiss settlement and the Paleolithic settlement Pré Monsieur are carried out as a national heritage of paleolithic and medieval importance.	The Noir Bois , a Swiss settlement and the Paleolithic settlement Pré Monsieur are not performed as a national heritage of Paleolithic and Medieval significance .
1798	none	In many cases , the former burgh settlement would become a German suburb of the Slavic town ( " Wiek " , " Wieck " ) .	none	In many cases, the former Burghsiedlung would become a German suburb of the Slavic city ("Wiek ", " Wieck ").	In many cases , the former burgh settlement wouldn't become a German suburb of the Slavic town ( " Wiek " , " Wieck " ) .
1799	none	The states that took part in this study were Aguascalientes , Chiapas , Chihuahua , Durango , Guerrero , Jalisco , Oaxaca , Sinaloa , Veracruz and Yucatan .	none	The countries involved in this study were Aguascalientes, Chiapas, Chihuahua, Durango, Guerrero, Jalisco, Oaxaca, Sinaloa, Veracruz and Yucatan.	The states that took part in this study were not Aguascalientes , Chiapas , Chihuahua , Durango , Guerrero , Jalisco , Oaxaca , Sinaloa , Veracruz and Yucatan .
1802	none	Cashel is a village in County Galway , in the province of Connacht , Ireland .	none	Cashel is a village in Galway County, Connacht, Ireland.	Cashel is not a village in County Galway , in the province of Connacht , Ireland .
1806	none	LaFlare confronted Roan Carneiro at UFC 208 on February 11 , 2017 , when he won the fight by unanimous decision .	none	LaFlare confronts Roan Carneiro at UFC 208 on February 11, 2017 when he won the fight by unanimous decision.	LaFlare didn't confront Roan Carneiro at UFC 208 on February 11 , 2017 , when he won the fight by unanimous decision .
1808	none	Designed by the architect Henry L. Taylor , it was built by O. R. Woodcock .	none	Designed by architect Henry L. Taylor, it was built by O. R. Woodcock.	Designed by the architect Henry L. Taylor , it was not built by O. R. Woodcock .
1811	none	The journey begins from Mumbai to Kolhapur , Sindhudurg via Goa , Ajanta Ellora Caves , Nashik and back .	none	The journey starts from Mumbai to Kolhapur, Sindhudurg via Goa, Ajanta Ellora Caves, Nashik and back.	The journey doesn't begin from Mumbai to Kolhapur , Sindhudurg via Goa , Ajanta Ellora Caves , Nashik and back .
1815	none	They can often be seen long before they are heard .	none	They can often be seen long before they are heard.	They can't often be seen long before they are heard .
1818	none	The LFAC was officially established in 2005 and the first teams were Belfry Valls , Cornellà Bocs , Valls Fire and Alt Camp .	none	The LFAC was officially founded in 2005 and the first teams were Belfry Valls, Cornellà Bocs, Valls Fire and Alt Camp.	The LFAC was officially not established in 2005 and the first teams were Belfry Valls , Cornellà Bocs , Valls Fire and Alt Camp .
1821	none	These medium to large butterflies have red wings with black and yellow spots and a dark brown edge .	none	These medium to large butterflies have red wings with black and yellow spots and a dark brown edge.	These medium to large butterflies don't have red wings with black and yellow spots and a dark brown edge .
1822	none	It aims to appeal to those who love wood and varnish , or the look and feeling of well-built and well-drawn boats .	none	It aims to appeal to those who love wood and varnish, or the appearance and feeling of well-built and well-drawn boats.	It doesn't aim to appeal to those who love wood and varnish , or the look and feeling of well-built and well-drawn boats .
1823	none	The most other common countries of birth were China 14.7 % , Nepal 7.0 % , India 5.1 % , Philippines 2.6 % and England 1.9 % .	none	The most common birth countries were China 14.7%, Nepal 7.0%, India 5.1%, Philippines 2.6% and England 1.9%.	The most other common countries of birth were not China 14.7 % , Nepal 7.0 % , India 5.1 % , Philippines 2.6 % and England 1.9 % .
1826	none	The 119th squadron of helicopters was formed in May 1968 as part of the 48th transport helicopter regiment at Niš Airport .	none	The 119th season of helicopters was formed in May 1968 as part of the 48th transport helicopter regiment at Niš airport.	The 119th squadron of helicopters was not formed in May 1968 as part of the 48th transport helicopter regiment at Niš Airport .
1827	none	It allowed users to create mobile-ready projects that adapt to any screen size and orientation .	none	It enabled users to create mobile projects that adapt to each screen size and alignment.	It didn't allow users to create mobile-ready projects that adapt to any screen size and orientation .
1829	none	" The Evolution of Dance " is the second interlude and the ninth track on the album .	none	"The Evolution of Dance" is the second Interlude and ninth track on the album.	" The Evolution of Dance " is not the second interlude and the ninth track on the album .
1831	none	They are exhibited for veneration in the Great Cathedral in summer and in the Old Cathedral in winter .	none	They are exhibited for worship in the Great Cathedral in summer and in the Old Cathedral in winter.	They are not exhibited for veneration in the Great Cathedral in summer and in the Old Cathedral in winter .
1832	none	Moritz Henle ( August 7 , 1850 - August 24 , 1925 ) was an important German composer of liturgical music and a cantor of the Jewish reform movement .	none	He was a composer of liturgical music and cantor of the Jewish reform movement.	Moritz Henle ( August 7 , 1850 - August 24 , 1925 ) was not an important German composer of liturgical music and a cantor of the Jewish reform movement .
1833	none	It was written by Leslie H. Martinson , directed by George Kirgo and was originally broadcast April 5 , 1982 on NBC .	none	It was written by Leslie H. Martinson, directed by George Kirgo and originally aired on NBC April 5, 1982.	It was not written by Leslie H. Martinson , directed by George Kirgo and was originally broadcast April 5 , 1982 on NBC .
1838	none	Much of the city 's crime , however , is centralized in most of its scattered neighborhoods and western neighborhoods adjacent to Hartsfield-Jackson International Airport .	none	However, much of the crime in the city is centralized in most of its scattered neighborhoods and western neighborhoods alongside Hartsfield-Jackson International Airport.	Much of the city 's crime , however , is not centralized in most of its scattered neighborhoods and western neighborhoods adjacent to Hartsfield-Jackson International Airport .
1842	none	Triandos was referenced in the second episode of the third season of the HBO original series , " The Wire " .	none	Triandos was referenced in the second episode of the third season of the HBO original series "The Wire".	Triandos was not referenced in the second episode of the third season of the HBO original series , " The Wire " .
1843	none	Today , High Point City Lake is located where the original family farmhouse and land was situated .	none	Today, High Point City Lake is located where the original family farmhouse and land lay.	Today , High Point City Lake is not located where the original family farmhouse and land was situated .
1851	none	The Harrison had held the record since 1993 , a year before Bailey was born .	none	The Harrison had held the record since 1993, a year before Bailey was born.	The Harrison hadn't held the record since 1993 , a year before Bailey was born .
1852	none	The tournament requires an import or a pure-foreign player for each team .	none	The tournament requires an import or a pure player for each team.	The tournament doesn't require an import or a pure-foreign player for each team .
1855	none	Lord Chancellor , a post in the Channel Islands - Government , is responsible for the relationship between the government and the UK .	none	Lord Chancellor, a post in the Channel Islands government, is responsible for the relationship between the government and the United Kingdom.	Lord Chancellor , a post in the Channel Islands - Government , is not responsible for the relationship between the government and the UK .
1858	none	Other places are Sultanganj in Bhagalpur and Vaidyanath Jyotirlinga in Deoghar , Jharkhand .	none	Other places are Sultanganj in Bhagalpur and Vaidyanath Jyotirlinga in Deoghar, Jharkhand.	Other places are not Sultanganj in Bhagalpur and Vaidyanath Jyotirlinga in Deoghar , Jharkhand .
1859	none	Her father , the democrat Calvin L. Rampton , served in the Utah State Senate and ran unsuccessfully in 1964 for the governor of Utah against Mitchell Meich .	none	Her father, the Democrat Calvin L. Rampton, served in the Utah Senate and ran unsuccessfully for the governor of Utah against Mitchell Meich in 1964.	Her father , the democrat Calvin L. Rampton , didn't serve in the Utah State Senate and ran unsuccessfully in 1964 for the governor of Utah against Mitchell Meich .
1865	none	Redmond , Oregon ( Roberts Field ) is a domestic airport in the Deschutes County , Oregon , owned and operated by Redmond Municipal Airport .	none	Redmond, Oregon, is an airport in Deschutes County, Oregon, United States.	Redmond , Oregon ( Roberts Field ) is not a domestic airport in the Deschutes County , Oregon , owned and operated by Redmond Municipal Airport .
1868	none	He was drafted by the Chicago Cardinals and also played for the Philadelphia Eagles and the Washington Redskins .	none	He was selected by the Chicago Cardinals and also played for the Philadelphia Eagles and the Washington Redskins.	He was not drafted by the Chicago Cardinals and also played for the Philadelphia Eagles and the Washington Redskins .
1870	none	Residing in NYC , he currently is a member of MJ12 , an instrumental group based in New York .	none	He is currently a member of MJ12, an instrumental group based in New York.	Residing in NYC , he currently is not a member of MJ12 , an instrumental group based in New York .
1871	none	From 2001 to 2007 it was part of the district Ajdabiya , from 1983 to 1987 it was part of the district of Jalu .	none	From 2001 to 2007 it was part of the district of Ajdabiya, from 1983 to 1987 it was part of the district of Jalu.	From 2001 to 2007 it was part of the district Ajdabiya , from 1983 to 1987 it was not part of the district of Jalu .
1878	none	He was stranded among the leaders in inherited runners at 51 .	none	At the age of 51, he was stranded among the leaders in the inherited runners.	He was not stranded among the leaders in inherited runners at 51 .
1879	none	Notre Dame got half of the $ 7.6 million that NBC paid for the rights each year of the deal and its opponent received the other half .	none	Notre Dame received half of the $ 7.6 million that NBC paid for the rights each year of the deal and his opponents received the other half.	Notre Dame didn't get half of the $ 7.6 million that NBC paid for the rights each year of the deal and its opponent received the other half .
1880	none	Garcia de Luna fought on the British side in the Battle of Carabobo , against Simón Bolívar and the Spanish Legions , during Venezuelan War of Independence in 1821 .	none	Garcia de Luna fought on the British side in the Battle of Carabobo, against Simón Bolívar and the Spanish legions, during the Venezuelan War of Independence in 1821.	Garcia de Luna didn't fight on the British side in the Battle of Carabobo , against Simón Bolívar and the Spanish Legions , during Venezuelan War of Independence in 1821 .
1881	none	Winner effects were shown when established non-experienced chicks were placed against dominant chicks in a study by Drummond .	none	Winning effects were shown when established non-experienced chicks were placed in a Drummond study against dominant chicks.	Winner effects were not shown when established non-experienced chicks were placed against dominant chicks in a study by Drummond .
1882	none	With the weakening of the Canadian dollar , manufacturing sales and exports rose in November and December 2015 , and employment increased .	none	With the weakening of the Canadian dollar, sales and exports in manufacturing increased in November and December 2015 and employment increased.	With the weakening of the Canadian dollar , manufacturing sales and exports didn't rise in November and December 2015 , and employment increased .
1883	none	YU grupa guitarist Dragi Jelić , Željko Nikolić " VD " , Sr " unk " to Todorović and Roze Poze guitarist Ivan Vdović appeared as guests on the EP .	none	YU grupa guitarist Dragi Jelic, Željko Nikolić " VD", Sr "unk" to Todorović and Roze Poze guitarist Ivan Vdović appeared as guests on the EP.	YU grupa guitarist Dragi Jelić , Željko Nikolić " VD " , Sr " unk " to Todorović and Roze Poze guitarist Ivan Vdović didn't appear as guests on the EP .
1885	none	In February 2010 , the newspaper was sold together with other regional and local titles of the Guardian Media Group to competitor Trinity Mirror plc .	none	In February 2010, the newspaper was sold together with other regional and local titles of the Guardian Media Group to competitor Trinity Mirror plc.	In February 2010 , the newspaper was not sold together with other regional and local titles of the Guardian Media Group to competitor Trinity Mirror plc .
1886	none	It contained Tan Yuling 's bedroom , reading room , the family hall , Buddhist chapel and the separate quarters for Empress Wan Rong and the concubine Puyi .	none	It contained Tan Yuling's bedroom, reading room, family hall, Buddhist chapel and separate quarters for Empress Wan Rong and the Puyi concubine.	It didn't contain Tan Yuling 's bedroom , reading room , the family hall , Buddhist chapel and the separate quarters for Empress Wan Rong and the concubine Puyi .
1887	none	Azem Bejta ( 1889 -- 1924 ) , commonly known as Azem Galica , was an Albanian nationalist and a rebel who fought for the unification of Kosovo with Albania .	none	Azem Bejta () was an Albanian nationalist and rebel who fought for the unification of Kosovo with Albania.	Azem Bejta ( 1889 -- 1924 ) , commonly known as Azem Galica , was not an Albanian nationalist and a rebel who fought for the unification of Kosovo with Albania .
1888	none	Burton L. " Burt " Collins ( March 27 , 1931 , New York City -- February 23 , 2007 , Philadelphia ) was an American jazz trumpeter .	none	==Biography==He was born in Philadelphia, Pennsylvania, and died on February 26, 2007.	Burton L. " Burt " Collins ( March 27 , 1931 , New York City -- February 23 , 2007 , Philadelphia ) was not an American jazz trumpeter .
1890	none	Also for Avatamsaka , the historic Buddha Sakyamuni is simply a magical emanation of the cosmic Buddha Vairocana .	none	Also for Avatamsaka, the historical Buddha Sakyamuni is simply a magical emanation of the cosmic Buddha Vairocana.	Also for Avatamsaka , the historic Buddha Sakyamuni is not simply a magical emanation of the cosmic Buddha Vairocana .
1891	none	The High School also serves students from four other postings - communities : Alpha , Bloomsbury ( in Greenwich Township and Lopatcong Township ) , Hunterdon County .	none	The High School also serves students from four other Postings communities: Alpha, Bloomsbury (in Greenwich Township and Lopatcong Township), Hunterdon County.	The High School also doesn't serve students from four other postings - communities : Alpha , Bloomsbury ( in Greenwich Township and Lopatcong Township ) , Hunterdon County .
1893	none	The Repedea River is a tributary of the Groșetu River in Romania .	none	The Repedea River is a tributary of the Groșetu River in Romania.	The Repedea River is not a tributary of the Groșetu River in Romania .
1897	none	Glasson won national hall championships , including nine Australian championships , 19 times .	none	Glasson won national indoor championships, including nine Australian championships, 19 times.	Glasson didn't win national hall championships , including nine Australian championships , 19 times .
1900	none	Harte temporarily took over the role of Dr. Michael McBain for Nathaniel Marston on the ABC soap " One Life to Live " in 2007 .	none	Harte temporarily took over the role of Dr. Michael McBain for Nathaniel Marston on the ABC soap "One Life to Live" in 2007.	Harte temporarily didn't take over the role of Dr. Michael McBain for Nathaniel Marston on the ABC soap " One Life to Live " in 2007 .
1901	none	The 1976 New England Patriots season was the 17th season for the team in the National Football League and the seventh season overall .	none	The 1976 New England Patriots season was the 17th season of the New England Patriots.	The 1976 New England Patriots season was not the 17th season for the team in the National Football League and the seventh season overall .
1905	none	Richmond Cricket Club was based in Richmond ( historically part of Surrey and now in London ) and was a leading club during the 18th century .	none	Richmond Cricket Club was established in Richmond (historic part of Surrey and now in London) and was a leading club in the 18th century.	Richmond Cricket Club was not based in Richmond ( historically part of Surrey and now in London ) and was a leading club during the 18th century .
1906	none	Miranda quotes Voltaire , " If we do not find something pleasant at least we will find something new , " and looks longingly at Oscar .	none	Miranda quotes Voltaire, "If we don't find something pleasant at least we can find something new," and looks longingly at Oscar.	Miranda quotes Voltaire , " If we find something pleasant at least we will find something new , " and looks longingly at Oscar .
1915	none	After moving to Turkey as a political refugee in 1988 , he began writing novels about the leftist uprising in Norway .	none	After moving to Turkey in 1988 as a political refugee, he began writing novels about the left-wing uprising in Norway.	After moving to Turkey as a political refugee in 1988 , he didn't begin writing novels about the leftist uprising in Norway .
1916	none	Peggy Edenfield testified in the case against her husband George and has also agreed to testify against her son David during his trial .	none	Peggy Edenfield testified against her husband George and also agreed to testify against her son David during his trial.	Peggy Edenfield didn't testify in the case against her husband George and has also agreed to testify against her son David during his trial .
1918	none	John John Magufuli won the presidential election in October 2015 and secured a two-thirds majority in the parliament The Main Party or other party in Tanzania called Chadema .	none	John John Magufuli won the presidential election in October 2015 and secured a two-thirds majority in parliament The Main Party or other party in Tanzania called Chadema.	John John Magufuli didn't win the presidential election in October 2015 and secured a two-thirds majority in the parliament The Main Party or other party in Tanzania called Chadema .
1920	none	Antony Worrall Thompson said the pie was intended as a treat for children and was not meant for regular consumption .	none	Antony Worrall Thompson said the cake was intended as a treat for children and was not intended for regular consumption.	Antony Worrall Thompson said the pie was intended as a treat for children and was meant for regular consumption .
1922	none	James Watson and Francis Crick shared the 1962 Nobel Prize for Physiology and Medicine with Rosalind Franklin ; Maurice Wilkins had already died from cancer in 1958 .	none	James Watson and Francis Crick shared the Nobel Prize in Physiology and Medicine with Rosalind Franklin in 1962; Maurice Wilkins had died of cancer in 1958.	James Watson and Francis Crick shared the 1962 Nobel Prize for Physiology and Medicine with Rosalind Franklin ; Maurice Wilkins hadn't already died from cancer in 1958 .
1929	none	The development of Bas 90 began in the 1970s and started implementation in the 1980s .	none	The development of Bas 90 began in the 1970s and began in the 1980s.	The development of Bas 90 didn't begin in the 1970s and started implementation in the 1980s .
1930	none	The musical films " Mark Twain " and " Huckleberry Finn " , both based on Tom Sawyer 's novels , were partially shot on site .	none	The music films "Mark Twain" and "Huckleberry Finn", both based on Tom Sawyer's novels, were partly filmed on site.	The musical films " Mark Twain " and " Huckleberry Finn " , both based on Tom Sawyer 's novels , were partially not shot on site .
1931	none	The standards for 2005 were approved by the California Energy Commission on 5 November 2003 and adopted by the Building Standards Commission on 21 July 2004 .	none	It was approved by the California Energy Commission in November 2003 and adopted by the Building Standards Commission on 21 July 2004.	The standards for 2005 were not approved by the California Energy Commission on 5 November 2003 and adopted by the Building Standards Commission on 21 July 2004 .
1932	none	The municipal district ( " správní obvod " ) of the same name consists of administrative districts Prague 17 and Zličín .	none	The municipality ("správní obvod") consists of the districts of Prague 17 and Zličín.	The municipal district ( " správní obvod " ) of the same name doesn't consist of administrative districts Prague 17 and Zličín .
1933	none	Donnelly was one of several players born in Ireland who benefited from the FAI 's attempts to establish their entire Nordic influence in Ireland .	none	Donnelly was one of several Irish-born players who benefited from the FAI's attempts to establish their entire Nordic influence in Ireland.	Donnelly was not one of several players born in Ireland who benefited from the FAI 's attempts to establish their entire Nordic influence in Ireland .
1936	none	His wife , Jean , daughter of Sir Jean Stewart , Baronet , and Duncan Campbell , were their children :	none	His wife, Jean, daughter of Sir Jean Stewart, Baronet, and Duncan Campbell, were her children:	His wife , Jean , daughter of Sir Jean Stewart , Baronet , and Duncan Campbell , were not their children :
1938	none	According to the United States Census Bureau , Masontown is a total area of , of which is land and 2.10 % has water .	none	==Geography==Masontown is located in the northwest of the United States and has an area of 2.1 km2.	According to the United States Census Bureau , Masontown is not a total area of , of which is land and 2.10 % has water .
1946	none	Riverside is located in the 3rd Congressional District and is part of New Jersey 's 7th state legislative district .	none	Riverside is located in the 3rd district of Congress and is part of the 7th district.	Riverside is not located in the 3rd Congressional District and is part of New Jersey 's 7th state legislative district .
1949	none	Columbia University graduates are awarded Teachers College degrees .	none	Columbia University graduates receive Teacher College Grade.	Columbia University graduates are not awarded Teachers College degrees .
1954	none	Although sold in Italy , foncies are produced by LU Snack Foods GmbH in Germany .	none	Although sold in Italy, Foncies are manufactured by LU Snack Foods GmbH in Germany.	Although sold in Italy , foncies are not produced by LU Snack Foods GmbH in Germany .
1955	none	The Samuel J. Tilden House is located on the south side of Gramercy Park , facing the park across Gramercy Park South between Irving Place and Gramercy Park West .	none	Samuel J. Tilden House is located on the south side of Gramercy Park, overlooking the park over Gramercy Park South between Irving Place and Gramercy Park West.	The Samuel J. Tilden House is not located on the south side of Gramercy Park , facing the park across Gramercy Park South between Irving Place and Gramercy Park West .
1956	none	In this way , under tragic auspices , the Nestorian faith was established in the East .	none	In this way, under tragic patronage, the Nestorian faith was established in the East.	In this way , under tragic auspices , the Nestorian faith was not established in the East .
1958	none	Thus , Montgomery was able to accumulate wealth , create a business , and run a personal library .	none	So, Montgomery was able to accumulate wealth, create a company, and run a personal library.	Thus , Montgomery was not able to accumulate wealth , create a business , and run a personal library .
1964	none	In 1922 , Tzipora Meirov married Sharett ( 12 August , 1896 -- 30 September , 1973 ) and had two sons and one daughter , Jacob , Yael and Chaim .	none	In 1922, Tzipora Meirov married Sharett (12 August, 1896 -- 30 September, 1973) and had two sons and one daughter, Jacob, Yael and Chaim.	In 1922 , Tzipora Meirov didn't marry Sharett ( 12 August , 1896 -- 30 September , 1973 ) and had two sons and one daughter , Jacob , Yael and Chaim .
1966	none	Atilia Caucidia Tertulla ( flourished 2nd century ) was an aristocratic woman from Ancient Roman society .	none	Atilia Caucidia Tertulla () was an aristocratic woman from ancient Roman society.	Atilia Caucidia Tertulla ( flourished 2nd century ) was not an aristocratic woman from Ancient Roman society .
1969	none	During the 1745 uprising it was again held by Jacobites and visited twice by Bonnie Prince Charlie .	none	During the 1745 Uprising, it was once again held by Jacobites and twice visited by Bonnie Prince Charlie.	During the 1745 uprising it was again not held by Jacobites and visited twice by Bonnie Prince Charlie .
1970	none	If he saw two black hats , he could have assumed that he was wearing a white hat .	none	If he saw two black hats, he could have assumed he was wearing a white hat.	If he saw two black hats , he couldn't have assumed that he was wearing a white hat .
1971	none	Cao Cao 's forces thought there was an ambush in Zhao Yun 's camp , so they withdrew .	none	Cao Cao's troops thought there was an ambush in Zhao Yun's camp, so they withdrew.	Cao Cao 's forces thought there was an ambush in Zhao Yun 's camp , so they didn't withdraw .
1973	none	RVD tried to reverse the hold , but the flair rolled into the ropes to break the hold .	none	RVD tried to reverse the hold, but the flair rolled into the ropes to break the hold.	RVD didn't try to reverse the hold , but the flair rolled into the ropes to break the hold .
1975	none	The occupation includes Ashwini Bhave , Nilu Phule , Sulabha Deshpandey , Savita Prabhune , Ashok Saraf , Vikram Gokhale , Raja Mayekar , Chandu Parkhi , and	none	The cast includes Ashwini Bhave, Nilu Phule, Sulabha Deshpandey, Satita Prabhune, Ashok Saraf, Vikram Gokhale, Raja Mayekar, Chandu Parkhi, and	The occupation doesn't include Ashwini Bhave , Nilu Phule , Sulabha Deshpandey , Savita Prabhune , Ashok Saraf , Vikram Gokhale , Raja Mayekar , Chandu Parkhi , and
1976	none	Daniel Pollack announced in February 2016 that Argentina reached an agreement with Paul Singer .	none	Daniel Pollack announced in February 2016 that Argentina has reached an agreement with Paul Singer.	Daniel Pollack didn't announce in February 2016 that Argentina reached an agreement with Paul Singer .
1982	none	Coverage in rural areas is considerably higher than in urban areas .	none	The coverage in rural areas is significantly higher than in urban areas.	Coverage in rural areas is not considerably higher than in urban areas .
1983	none	She travelled with John , Marian and Jack in 1912 when they returned to Europe and travelled home with them on the " Titanic " .	none	She travelled with John, Marian and Jack in 1912 when they returned to Europe and traveled home with them on the "Titanic".	She didn't travel with John , Marian and Jack in 1912 when they returned to Europe and travelled home with them on the " Titanic " .
1984	none	The Hunters is a 2011 French crime horror thriller film directed by Chris Briant . The film was produced by Antoine Huet ,	none	The Hunters is a 2011 French thriller thriller film directed by Chris Briant.	The Hunters is not a 2011 French crime horror thriller film directed by Chris Briant . The film was produced by Antoine Huet ,
1985	none	Nicholas Monroe and Simon Stadler defeated Mateusz Kowalczyk and Lukáš Rosol 6 -- 4 , 6 -- 4 in the final to win the title .	none	Nicholas Monroe and Simon Stadler defeated Mateusz Kowalczyk and Lukáš Rosol 6 - 4, 6 - 4 in the final to win the title.	Nicholas Monroe and Simon Stadler didn't defeat Mateusz Kowalczyk and Lukáš Rosol 6 -- 4 , 6 -- 4 in the final to win the title .
1987	none	Indonesian dumplings were influenced and brought by Chinese immigrants to Indonesia .	none	Indonesian dumplings were influenced and brought to Indonesia by Chinese immigrants.	Indonesian dumplings were not influenced and brought by Chinese immigrants to Indonesia .
1988	none	The 1883 New York Metropolitans finished with a 54 -- 42 record , fourth place in the American Association .	none	The 1883 New York Metropolitans finished fourth in the American Association with a 54 - 42 record.	The 1883 New York Metropolitans didn't finish with a 54 -- 42 record , fourth place in the American Association .
1993	none	The mine is located near Abakan in the south of Russia in Khakassia .	none	The mine is located near Abakan in southern Russia in Khakassia.	The mine is not located near Abakan in the south of Russia in Khakassia .
1995	none	Carrie played the entertainment manager and Willie Garson 's gay friend Stanford Blatch .	none	Carrie played the entertainment manager and Willie Garson's gay friend Stanford Blatch.	Carrie didn't play the entertainment manager and Willie Garson 's gay friend Stanford Blatch .
2000	none	In recognition of its history , its administrative importance and its economic success , Cambridge was granted city rights in 1951 .	none	In recognition of its history, its administrative importance and its economic success, Cambridge received city rights in 1951.	In recognition of its history , its administrative importance and its economic success , Cambridge was not granted city rights in 1951 .
2002	none	In the 2011 election , Subinay Ghosh of the Trinamool Congress defeated his nearest rival Abani Mohan Joardar of CPI ( M ) .	none	In the 2011 election, Subinay Ghosh defeated his next rival Abani Mohan Joardar of CPI (M) from the Trinamool Congress.	In the 2011 election , Subinay Ghosh of the Trinamool Congress didn't defeat his nearest rival Abani Mohan Joardar of CPI ( M ) .
