2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The NBA season of 1975 -- seventy-six was the 30th season of the National Basketball Association .	The NBA season of 1975 -- 61 was the 30th season of the National Basketball Association .
25613	none	So if we know the probability distribution functionality formula 35 , we can find the function formula 36 and calculate the optimal reservation price from it .	none	So if we know the probability distribution functionality formula thirty-five , we can find the function formula thirty-six and calculate the optimal reservation price from it .	So if we know the probability distribution functionality formula 95 , we can find the function formula 87 and calculate the optimal reservation price from it .
25650	none	According to the United States Census Bureau , Waverly Township has a total surface area of which land and , or 9.21 % , is water .	none	According to the United States Census Bureau , Waverly Township has a total surface area of which land and , or nine point two one percent , is water .	According to the United States Census Bureau , Waverly Township has a total surface area of which land and , or 4.92 % , is water .
25682	none	The season 1986 -- 87 National Hockey League was the 70th season of the Toronto operation in the Toronto Maple Leafs .	none	The season 1986 -- eighty-seven National Hockey League was the 70th season of the Toronto operation in the Toronto Maple Leafs .	The season 1986 -- 74 National Hockey League was the 70th season of the Toronto operation in the Toronto Maple Leafs .
25683	none	Gus Van Sant also named Chantal Akerman 's film " Jeanne Dielman , 23 Quai du Commerce , 1080 Brussels " ( 1975 ) an inspiration .	none	Gus Van Sant also named Chantal Akerman 's film " Jeanne Dielman , twenty-three Quai du Commerce , 1080 Brussels " ( 1975 ) an inspiration .	Gus Van Sant also named Chantal Akerman 's film " Jeanne Dielman , 51 Quai du Commerce , 1080 Brussels " ( 1975 ) an inspiration .
25699	none	According to the United States Census Bureau , Masontown is a total area of , of which is land and 2.10 % has water .	none	According to the United States Census Bureau , Masontown is a total area of , of which is land and two point one percent has water .	According to the United States Census Bureau , Masontown is a total area of , of which is land and 5.79 % has water .
25759	none	The season 2010 -- 11 Rain or Shine Elasto painter was the fifth season of the franchise in the Philippine Basketball Association ( PBA ) .	none	The season 2010 -- eleven Rain or Shine Elasto painter was the fifth season of the franchise in the Philippine Basketball Association ( PBA ) .	The season 2010 -- 62 Rain or Shine Elasto painter was the fifth season of the franchise in the Philippine Basketball Association ( PBA ) .
25763	none	The Peters family , who was prominent in the racing industry , had donated Vela $ 150,000 over a four-year period .	none	The Peters family , who was prominent in the racing industry , had donated Vela one hundred and fifty thousand dollars over a four-year period .	The Peters family , who was prominent in the racing industry , had donated Vela $ 975,000 over a four-year period .
25783	none	The smaller one of the two boats carries up to 24 cars , the larger 18 cars .	none	The smaller one of the two boats carries up to twenty-four cars , the larger eighteen cars .	The smaller one of the two boats carries up to 69 cars , the larger 86 cars .
25790	none	When the first upper diagonal is the main diagonal multiplied by 2 , it is of the second kind .	none	When the first upper diagonal is the main diagonal multiplied by two , it is of the second kind .	When the first upper diagonal is the main diagonal multiplied by 8 , it is of the second kind .
25795	none	This association was further enhanced after the female Christian missionary , Nino , converted Nana , his wife Mirian and household into Christianity in or around 337 .	none	This association was further enhanced after the female Christian missionary , Nino , converted Nana , his wife Mirian and household into Christianity in or around three hundred and thirty-seven .	This association was further enhanced after the female Christian missionary , Nino , converted Nana , his wife Mirian and household into Christianity in or around 437 .
25861	none	Two more aftershocks above Magnitude 5 in Xinjiang and one in Kyrgyzstan beat UTC on October 13 - time .	none	Two more aftershocks above Magnitude five in Xinjiang and one in Kyrgyzstan beat UTC on October 13 - time .	Two more aftershocks above Magnitude 1 in Xinjiang and one in Kyrgyzstan beat UTC on October 13 - time .
25876	none	The development of Bas 90 began in the 1970s and was implemented in the 1980s .	none	The development of Bas ninety began in the 1970s and was implemented in the 1980s .	The development of Bas 98 began in the 1970s and was implemented in the 1980s .
25951	none	The persecution of Cicero in 70 BC was for Gaius Verres a great forensic success .	none	The persecution of Cicero in seventy BC was for Gaius Verres a great forensic success .	The persecution of Cicero in 75 BC was for Gaius Verres a great forensic success .
25968	none	The Australian state election of 1945 was held on Saturday , November 10 , 1945 , in the Victorian state of Victoria to elect 65 members of the state ’ s legislative assembly .	none	The Australian state election of 1945 was held on Saturday , November 10 , 1945 , in the Victorian state of Victoria to elect sixty-five members of the state ’ s legislative assembly .	The Australian state election of 1945 was held on Saturday , November 10 , 1945 , in the Victorian state of Victoria to elect 52 members of the state ’ s legislative assembly .
25992	none	The Senate referred to all 30 cases to the RCMP .	none	The Senate referred to all thirty cases to the RCMP .	The Senate referred to all 24 cases to the RCMP .
26011	none	" FIFA Manager 12 " is a football manager - simulation video game , developed by Bright Future GmbH and published by EA Sports worldwide under the label Electronic Arts .	none	" FIFA Manager twelve " is a football manager - simulation video game , developed by Bright Future GmbH and published by EA Sports worldwide under the label Electronic Arts .	" FIFA Manager 59 " is a football manager - simulation video game , developed by Bright Future GmbH and published by EA Sports worldwide under the label Electronic Arts .
26033	none	Lea Antonoplis and Cammy MacGregor won in the final 6 -- 3 , 3 -- 6 , 7 -- 5 against Ann Henricksson and Julie Richardson .	none	Lea Antonoplis and Cammy MacGregor won in the final six -- three , three -- six , seven -- five against Ann Henricksson and Julie Richardson .	Lea Antonoplis and Cammy MacGregor won in the final 9 -- 1 , 5 -- 1 , 1 -- 9 against Ann Henricksson and Julie Richardson .
26047	none	Top Gear Hyper Bike is a motorcycle racing game for the Nintendo 64 , developed by Kemco and published by Snowblind Studios .	none	Top Gear Hyper Bike is a motorcycle racing game for the Nintendo sixty-four , developed by Kemco and published by Snowblind Studios .	Top Gear Hyper Bike is a motorcycle racing game for the Nintendo 67 , developed by Kemco and published by Snowblind Studios .
26099	none	Through the 2017 season , the Cornell Big Red have won 649 games , lost 529 games , and tied 33 regular season games .	none	Through the 2017 season , the Cornell Big Red have won six hundred and forty-nine games , lost five hundred and twenty-nine games , and tied thirty-three regular season games .	Through the 2017 season , the Cornell Big Red have won 482 games , lost 368 games , and tied 92 regular season games .
26110	none	The 2014 -- 15 Idaho State Bengals men 's basketball team represented Idaho State University during the 2014 -- 15 NCAA Division I men 's basketball season .	none	The 2014 -- fifteen Idaho State Bengals men 's basketball team represented Idaho State University during the 2014 -- fifteen NCAA Division I men 's basketball season .	The 2014 -- 52 Idaho State Bengals men 's basketball team represented Idaho State University during the 2014 -- 38 NCAA Division I men 's basketball season .
26130	none	The NBA season from 1979 to 80 was the 34th season of the National Basketball Association .	none	The NBA season from 1979 to eighty was the 34th season of the National Basketball Association .	The NBA season from 1979 to 17 was the 34th season of the National Basketball Association .
26141	none	The " World Atlas for Language Structures " has a global map of 400 languages and chapter text , including geographical discussion :	none	The " World Atlas for Language Structures " has a global map of four hundred languages and chapter text , including geographical discussion :	The " World Atlas for Language Structures " has a global map of 873 languages and chapter text , including geographical discussion :
26161	none	The temperature should be around 28 ° C during the day and should sink to about 20 ° C at night .	none	The temperature should be around twenty-eight ° C during the day and should sink to about twenty ° C at night .	The temperature should be around 16 ° C during the day and should sink to about 27 ° C at night .
26198	none	The season 2010 -- 11 Rain or Shine Elasto painter was the fifth season of the franchise in the Philippine Basketball Association ( PBA ) .	none	The season 2010 -- eleven Rain or Shine Elasto painter was the fifth season of the franchise in the Philippine Basketball Association ( PBA ) .	The season 2010 -- 45 Rain or Shine Elasto painter was the fifth season of the franchise in the Philippine Basketball Association ( PBA ) .
26207	none	The US 9 leads to Cape May -- Lewes Ferry , which crosses the Delaware Bay to Lewes , Delaware .	none	The US nine leads to Cape May -- Lewes Ferry , which crosses the Delaware Bay to Lewes , Delaware .	The US 5 leads to Cape May -- Lewes Ferry , which crosses the Delaware Bay to Lewes , Delaware .
26233	none	Charles A. Lindbergh State Park is located right west of Little Falls on the MN 27 .	none	Charles A. Lindbergh State Park is located right west of Little Falls on the MN twenty-seven .	Charles A. Lindbergh State Park is located right west of Little Falls on the MN 89 .
26237	none	Prior to the unification of Yemen in 1990 , the law set the minimum age of marriage at 16 in South Yemen and 15 in the north .	none	Prior to the unification of Yemen in 1990 , the law set the minimum age of marriage at sixteen in South Yemen and fifteen in the north .	Prior to the unification of Yemen in 1990 , the law set the minimum age of marriage at 18 in South Yemen and 38 in the north .
26250	none	Houyan is a station on Line 3 of the Dalian Metro in Dalian City . It is located in the Ganjingzi District of Liaoning Province , China .	none	Houyan is a station on Line three of the Dalian Metro in Dalian City . It is located in the Ganjingzi District of Liaoning Province , China .	Houyan is a station on Line 5 of the Dalian Metro in Dalian City . It is located in the Ganjingzi District of Liaoning Province , China .
26251	none	The original squadron 159 was to be formed during the First World War , but the idea was dissolved so that reinforcements could be sent to France .	none	The original squadron one hundred and fifty-nine was to be formed during the First World War , but the idea was dissolved so that reinforcements could be sent to France .	The original squadron 452 was to be formed during the First World War , but the idea was dissolved so that reinforcements could be sent to France .
26256	none	The 1995 -- 96 Bayern Munich season was their 95th season of existence and 31st Bundesliga season .	none	The 1995 -- ninety-six Bayern Munich season was their 95th season of existence and 31st Bundesliga season .	The 1995 -- 19 Bayern Munich season was their 95th season of existence and 31st Bundesliga season .
26261	none	The season from 1982 to 83 National Basketball Association was the 37th season of the NBA .	none	The season from 1982 to eighty-three National Basketball Association was the 37th season of the NBA .	The season from 1982 to 79 National Basketball Association was the 37th season of the NBA .
26268	none	The winner of each semi-final ( Best of 3 ) rose to the gold medal race , the other two drivers went to the bronze medal race .	none	The winner of each semi-final ( Best of three ) rose to the gold medal race , the other two drivers went to the bronze medal race .	The winner of each semi-final ( Best of 8 ) rose to the gold medal race , the other two drivers went to the bronze medal race .
26273	none	Lorenzo Giuntini married Susannah Louisa Barnett in Frome , Somerset on September 11 , 1866 and got 8 children .	none	Lorenzo Giuntini married Susannah Louisa Barnett in Frome , Somerset on September 11 , 1866 and got eight children .	Lorenzo Giuntini married Susannah Louisa Barnett in Frome , Somerset on September 11 , 1866 and got 9 children .
26307	none	Other languages spoken at home included Mandarin 4.0 % , Cantonese 1.8 % , Russian 1.7 % , Greek 1.6 % and Spanish 1.3 % .	none	Other languages spoken at home included Mandarin four percent , Cantonese one point eight percent , Russian one point seven percent , Greek one point six percent and Spanish one point three percent .	Other languages spoken at home included Mandarin 3.1 % , Cantonese 8.1 % , Russian 6.2 % , Greek 6.9 % and Spanish 4.1 % .
26327	none	It shows 362 different old wood species , bushes and 236 different species of fruit trees .	none	It shows three hundred and sixty-two different old wood species , bushes and two hundred and thirty-six different species of fruit trees .	It shows 659 different old wood species , bushes and 246 different species of fruit trees .
26388	none	The Istanbul Football League season 1907 -- 08 was the fourth season of the League , Moda FC won for the first time the league .	none	The Istanbul Football League season 1907 -- eight was the fourth season of the League , Moda FC won for the first time the league .	The Istanbul Football League season 1907 -- 41 was the fourth season of the League , Moda FC won for the first time the league .
26391	none	Greg Rusedski defeated Lars Rehmann 6 -- 4 , 3 -- 1 ( Rehmann is retired )	none	Greg Rusedski defeated Lars Rehmann six -- four , three -- one ( Rehmann is retired )	Greg Rusedski defeated Lars Rehmann 1 -- 5 , 2 -- 5 ( Rehmann is retired )
26433	none	John 's mother Sinclair T. Chitty married his father Thomas Kincaid Blake Jr. at the age of 15 .	none	John 's mother Sinclair T. Chitty married his father Thomas Kincaid Blake Jr. at the age of fifteen .	John 's mother Sinclair T. Chitty married his father Thomas Kincaid Blake Jr. at the age of 62 .
26439	none	Rolly Tasker won Australia 's first sail medal at the Melbourne Olympic Games in 1956 , when he and John Scott won a silver medal in their 12 m sharp .	none	Rolly Tasker won Australia 's first sail medal at the Melbourne Olympic Games in 1956 , when he and John Scott won a silver medal in their twelve m sharp .	Rolly Tasker won Australia 's first sail medal at the Melbourne Olympic Games in 1956 , when he and John Scott won a silver medal in their 78 m sharp .
26507	none	5th " Meet the People " ( Reprise 1 ) by Lucille Ball ( sung by Gloria Grafton ) and Chorus .	none	5th " Meet the People " ( Reprise one ) by Lucille Ball ( sung by Gloria Grafton ) and Chorus .	5th " Meet the People " ( Reprise 9 ) by Lucille Ball ( sung by Gloria Grafton ) and Chorus .
26520	none	Therefore , all strictly non-palindromic " n " 6 prime numbers are .	none	Therefore , all strictly non-palindromic " n " six prime numbers are .	Therefore , all strictly non-palindromic " n " 4 prime numbers are .
26548	none	All 15 episodes were presented by the British naval officer Commander Campbell and produced by Harry Pringle .	none	All fifteen episodes were presented by the British naval officer Commander Campbell and produced by Harry Pringle .	All 38 episodes were presented by the British naval officer Commander Campbell and produced by Harry Pringle .
26580	none	Ann Henricksson defeated Martina Navratilova with 6 -- 1 , 6 -- 1 .	none	Ann Henricksson defeated Martina Navratilova with six -- one , six -- one .	Ann Henricksson defeated Martina Navratilova with 4 -- 5 , 9 -- 4 .
26584	none	NJ Transit offers seasonal bus service between the borough and the Port Authority Bus Terminal in Midtown Manhattan on the 137 route and to Newark on the 67 route .	none	NJ Transit offers seasonal bus service between the borough and the Port Authority Bus Terminal in Midtown Manhattan on the one hundred and thirty-seven route and to Newark on the sixty-seven route .	NJ Transit offers seasonal bus service between the borough and the Port Authority Bus Terminal in Midtown Manhattan on the 789 route and to Newark on the 93 route .
26617	none	SR 416 was created around 1990 when SR 438 was moved from Princeton Street to the old Silver Star Road extension , and the new alignment needed a number .	none	SR four hundred and sixteen was created around 1990 when SR four hundred and thirty-eight was moved from Princeton Street to the old Silver Star Road extension , and the new alignment needed a number .	SR 825 was created around 1990 when SR 795 was moved from Princeton Street to the old Silver Star Road extension , and the new alignment needed a number .
26629	none	CBS offered the NFL $ 1.58 billion over four years , significantly more than the $ 290 million per year offered by Fox .	none	CBS offered the NFL one point five eight billion dollars over four years , significantly more than the two hundred and ninety million dollars per year offered by Fox .	CBS offered the NFL $ 9.72 billion over four years , significantly more than the $ 451 million per year offered by Fox .
26637	none	In the final , Oliver Marach and Leonardo Mayer defeated Franco Ferreiro and André Sá from 7 to 6 ( 6 ) , 6 - 3 .	none	In the final , Oliver Marach and Leonardo Mayer defeated Franco Ferreiro and André Sá from seven to six ( six ) , six - three .	In the final , Oliver Marach and Leonardo Mayer defeated Franco Ferreiro and André Sá from 5 to 3 ( 4 ) , 4 - 5 .
26668	none	According to the United States Census Bureau , Harmony Township has a total area of which is land , and 5.21 % is water .	none	According to the United States Census Bureau , Harmony Township has a total area of which is land , and five point two one percent is water .	According to the United States Census Bureau , Harmony Township has a total area of which is land , and 9.38 % is water .
26675	none	Kendra Saunders is now 100 % Hawkgirl .	none	Kendra Saunders is now one hundred percent Hawkgirl .	Kendra Saunders is now 975 % Hawkgirl .
26694	none	He played for the Kansas City Royals for 10 matches during the 1991 season Kansas City Royals and four games during the 1992 season in Chicago Cubs .	none	He played for the Kansas City Royals for ten matches during the 1991 season Kansas City Royals and four games during the 1992 season in Chicago Cubs .	He played for the Kansas City Royals for 14 matches during the 1991 season Kansas City Royals and four games during the 1992 season in Chicago Cubs .
26838	none	The 2010 -- 11 Rain or Shine Elasto Painters season was the fifth season of the franchise in the Philippine Basketball Association ( PBA ) .	none	The 2010 -- eleven Rain or Shine Elasto Painters season was the fifth season of the franchise in the Philippine Basketball Association ( PBA ) .	The 2010 -- 84 Rain or Shine Elasto Painters season was the fifth season of the franchise in the Philippine Basketball Association ( PBA ) .
26850	none	The hyperbolic case is similar , with the area of a disk of the hyperbolic radius " R " at the constant level ( intrinsic curvature formula 83 ) given by	none	The hyperbolic case is similar , with the area of a disk of the hyperbolic radius " R " at the constant level ( intrinsic curvature formula eighty-three ) given by	The hyperbolic case is similar , with the area of a disk of the hyperbolic radius " R " at the constant level ( intrinsic curvature formula 34 ) given by
26862	none	Michael Chang won in the final 3 -- 6 , 6 -- 3 , 7 -- 5 against Renzo Furlan .	none	Michael Chang won in the final three -- six , six -- three , seven -- five against Renzo Furlan .	Michael Chang won in the final 5 -- 7 , 8 -- 5 , 8 -- 3 against Renzo Furlan .
26922	none	In 1883 , the first schools in the area were built for 400 white students and 60 black students .	none	In 1883 , the first schools in the area were built for four hundred white students and sixty black students .	In 1883 , the first schools in the area were built for 576 white students and 16 black students .
26926	none	Maureen McAleenan ( 0 -- 7 ) and Nuala McGee ( 1 -- 2 ) for Leitrim .	none	Maureen McAleenan ( zero -- seven ) and Nuala McGee ( one -- two ) for Leitrim .	Maureen McAleenan ( 3 -- 3 ) and Nuala McGee ( 2 -- 7 ) for Leitrim .
26972	none	The " All Clear " was lifted and the Blackout order sounded at 7 : 21 .	none	The " All Clear " was lifted and the Blackout order sounded at seven : twenty-one .	The " All Clear " was lifted and the Blackout order sounded at 1 : 26 .
26973	none	The manuscript was added by Gregor ( number 243 ) and Scrivener ( number 218 ) to the list of manuscripts of the New Testament .	none	The manuscript was added by Gregor ( number two hundred and forty-three ) and Scrivener ( number two hundred and eighteen ) to the list of manuscripts of the New Testament .	The manuscript was added by Gregor ( number 782 ) and Scrivener ( number 439 ) to the list of manuscripts of the New Testament .
26985	none	Born in 1794 in Alpheton in Suffolk , Thomas Clark joined William Debenham in a partnership to manage a draper 's store at 44 Wigmore Street in London .	none	Born in 1794 in Alpheton in Suffolk , Thomas Clark joined William Debenham in a partnership to manage a draper 's store at forty-four Wigmore Street in London .	Born in 1794 in Alpheton in Suffolk , Thomas Clark joined William Debenham in a partnership to manage a draper 's store at 18 Wigmore Street in London .
26986	none	The weighted weighting function at the wavelength formula 1 can be written as the mesoscopic sum .	none	The weighted weighting function at the wavelength formula one can be written as the mesoscopic sum .	The weighted weighting function at the wavelength formula 5 can be written as the mesoscopic sum .
27021	none	The equality is when formula 8 holds a ball in formula 2 .	none	The equality is when formula eight holds a ball in formula two .	The equality is when formula 4 holds a ball in formula 6 .
27055	none	Notre Dame received half the $ 7.6 million that NBC paid each year for the rights of the deal , and the opponent received the other half .	none	Notre Dame received half the seven point six million dollars that NBC paid each year for the rights of the deal , and the opponent received the other half .	Notre Dame received half the $ 2.1 million that NBC paid each year for the rights of the deal , and the opponent received the other half .
27164	none	The 1945 Victorian state election was held in the Australian state of Victoria on Saturday 10 November 1945 to elect 65 members of the state 's Legislative Assembly .	none	The 1945 Victorian state election was held in the Australian state of Victoria on Saturday 10 November 1945 to elect sixty-five members of the state 's Legislative Assembly .	The 1945 Victorian state election was held in the Australian state of Victoria on Saturday 10 November 1945 to elect 14 members of the state 's Legislative Assembly .
27173	none	The season 1988 -- 89 National Basketball Association was the 43rd NBA season .	none	The season 1988 -- eighty-nine National Basketball Association was the 43rd NBA season .	The season 1988 -- 42 National Basketball Association was the 43rd NBA season .
27195	none	Lorenzo Giuntini married Susannah Louisa Barnett in Frome , Somerset on September 11 , 1866 and got 8 children .	none	Lorenzo Giuntini married Susannah Louisa Barnett in Frome , Somerset on September 11 , 1866 and got eight children .	Lorenzo Giuntini married Susannah Louisa Barnett in Frome , Somerset on September 11 , 1866 and got 1 children .
27210	none	Another name of Wincham Park ( Sports Direct Arena ) was spoken about on the popular BBC1 TV show Room 101 hosted by Frank Skinner .	none	Another name of Wincham Park ( Sports Direct Arena ) was spoken about on the popular BBC1 TV show Room one hundred and one hosted by Frank Skinner .	Another name of Wincham Park ( Sports Direct Arena ) was spoken about on the popular BBC1 TV show Room 143 hosted by Frank Skinner .
27259	none	Hussain received 432 votes , and his only rival , Wajihuddin Ahmed , was 77 .	none	Hussain received four hundred and thirty-two votes , and his only rival , Wajihuddin Ahmed , was seventy-seven .	Hussain received 159 votes , and his only rival , Wajihuddin Ahmed , was 73 .
27272	none	The Sweikert finished the following May at Salem Speedway Sixth , but then died weeks later , at the age of 30 , in 1956 , after crashing a sprint car in Indianapolis .	none	The Sweikert finished the following May at Salem Speedway Sixth , but then died weeks later , at the age of thirty , in 1956 , after crashing a sprint car in Indianapolis .	The Sweikert finished the following May at Salem Speedway Sixth , but then died weeks later , at the age of 98 , in 1956 , after crashing a sprint car in Indianapolis .
27274	none	Wayne Black and Kevin Ullyett won in the final 6 -- 3 , 6 -- 4 , against Jonas Björkman and Todd Woodbridge .	none	Wayne Black and Kevin Ullyett won in the final six -- three , six -- four , against Jonas Björkman and Todd Woodbridge .	Wayne Black and Kevin Ullyett won in the final 3 -- 4 , 5 -- 6 , against Jonas Björkman and Todd Woodbridge .
27293	none	According to the Miramar Ship Index " Baie St. Paul © has a capacity of 24,430 tons and a gross tonnage of 37,690 tons .	none	According to the Miramar Ship Index " Baie St. Paul © has a capacity of twenty-four thousand, four hundred and thirty tons and a gross tonnage of thirty-seven thousand, six hundred and ninety tons .	According to the Miramar Ship Index " Baie St. Paul © has a capacity of 31,430 tons and a gross tonnage of 36,690 tons .
27333	none	It is located close to the Mandurriao at 113 R. Mapa Street in the Iloilo City district of Old Iloilo Airport .	none	It is located close to the Mandurriao at one hundred and thirteen R. Mapa Street in the Iloilo City district of Old Iloilo Airport .	It is located close to the Mandurriao at 768 R. Mapa Street in the Iloilo City district of Old Iloilo Airport .
27335	none	Asbury is a rural community about 10 miles north of Pilot Mountain and 11 miles east of Mount Airy , 1,5 miles south of the Virginia border .	none	Asbury is a rural community about ten miles north of Pilot Mountain and eleven miles east of Mount Airy , fifteen miles south of the Virginia border .	Asbury is a rural community about 43 miles north of Pilot Mountain and 93 miles east of Mount Airy , 7,5 miles south of the Virginia border .
27336	none	It extends from the US - Route 95 ( US-95 ) north of Copeland , east to the British Columbia Highway 21 ( BC 21 ) in Porthill .	none	It extends from the US - Route ninety-five ( US-95 ) north of Copeland , east to the British Columbia Highway twenty-one ( BC twenty-one ) in Porthill .	It extends from the US - Route 74 ( US-95 ) north of Copeland , east to the British Columbia Highway 43 ( BC 47 ) in Porthill .
27345	none	No . 615 ( County of Surrey ) Squadron was a unit of the British Royal Auxiliary Air Force and later the Auxiliary Air Force between 1937 and 1957 .	none	No . six hundred and fifteen ( County of Surrey ) Squadron was a unit of the British Royal Auxiliary Air Force and later the Auxiliary Air Force between 1937 and 1957 .	No . 485 ( County of Surrey ) Squadron was a unit of the British Royal Auxiliary Air Force and later the Auxiliary Air Force between 1937 and 1957 .
27368	none	Due to the results obtained in the previous round , Gianni Morbidelli received + 30 kg , Pepe Oriola + 20 kg and Kevin Gleason + 10 kg .	none	Due to the results obtained in the previous round , Gianni Morbidelli received + thirty kg , Pepe Oriola + twenty kg and Kevin Gleason + ten kg .	Due to the results obtained in the previous round , Gianni Morbidelli received + 67 kg , Pepe Oriola + 15 kg and Kevin Gleason + 52 kg .
27378	none	( Formula 26 are normal vectors at the intersection points and their scalar product is Formula 27 )	none	( Formula twenty-six are normal vectors at the intersection points and their scalar product is Formula twenty-seven )	( Formula 28 are normal vectors at the intersection points and their scalar product is Formula 83 )
27405	none	The PGM 500 and PGM 2000 are guided bombs developed by MBDA and are now being marketed by Alenia Marconi Systems .	none	The PGM five hundred and PGM 2000 are guided bombs developed by MBDA and are now being marketed by Alenia Marconi Systems .	The PGM 142 and PGM 2000 are guided bombs developed by MBDA and are now being marketed by Alenia Marconi Systems .
27406	none	The city is situated on the main road between Mogadishu and Jilib , close to Barawa and about 50 miles northeast of Kismayo .	none	The city is situated on the main road between Mogadishu and Jilib , close to Barawa and about fifty miles northeast of Kismayo .	The city is situated on the main road between Mogadishu and Jilib , close to Barawa and about 45 miles northeast of Kismayo .
27437	none	According to the United States Census Bureau , the community has a total area of which land and , or 24.17 % , is water .	none	According to the United States Census Bureau , the community has a total area of which land and , or twenty-four point one seven percent , is water .	According to the United States Census Bureau , the community has a total area of which land and , or 65.41 % , is water .
27439	none	Let Formula 4 follow a continuous ( uniform ) distribution between Formula 19 and Formula 20 .	none	Let Formula four follow a continuous ( uniform ) distribution between Formula nineteen and Formula twenty .	Let Formula 7 follow a continuous ( uniform ) distribution between Formula 83 and Formula 41 .
27447	none	There are nine primary level schools , 16 secondary schools and two schools for special education .	none	There are nine primary level schools , sixteen secondary schools and two schools for special education .	There are nine primary level schools , 54 secondary schools and two schools for special education .
27485	none	It took place from 23 to 29 April 2010 at the Real Club de Tenis Barcelona , Barcelona , Catalonia , Spain .	none	It took place from twenty-three to 29 April 2010 at the Real Club de Tenis Barcelona , Barcelona , Catalonia , Spain .	It took place from 26 to 29 April 2010 at the Real Club de Tenis Barcelona , Barcelona , Catalonia , Spain .
27493	none	The novel was read by Kirsty Williams as BBC - Radio - 4 - Bedtime Book , adapted by Toby Stephens and produced by Lu Kemp .	none	The novel was read by Kirsty Williams as BBC - Radio - four - Bedtime Book , adapted by Toby Stephens and produced by Lu Kemp .	The novel was read by Kirsty Williams as BBC - Radio - 2 - Bedtime Book , adapted by Toby Stephens and produced by Lu Kemp .
27513	none	In 1971 , a new campus was completed in 33 MacDonnell Road for primary school .	none	In 1971 , a new campus was completed in thirty-three MacDonnell Road for primary school .	In 1971 , a new campus was completed in 78 MacDonnell Road for primary school .
27608	none	Route 7 is divided into 20 sections in Buenos Aires , 2 in Santa Fe , 5 in Córdoba , 13 in San Luis and 15 in Mendoza .	none	Route seven is divided into twenty sections in Buenos Aires , two in Santa Fe , five in Córdoba , thirteen in San Luis and fifteen in Mendoza .	Route 5 is divided into 46 sections in Buenos Aires , 6 in Santa Fe , 2 in Córdoba , 98 in San Luis and 86 in Mendoza .
27628	none	In the series finale , Stevie at age 13 , portrayed by Mateus Ward , is bar mitzvahed .	none	In the series finale , Stevie at age thirteen , portrayed by Mateus Ward , is bar mitzvahed .	In the series finale , Stevie at age 23 , portrayed by Mateus Ward , is bar mitzvahed .
27672	none	The 40 Watt Uptown was large and professional , and it was a major stop for independent underground music acts in the 1980s .	none	The forty Watt Uptown was large and professional , and it was a major stop for independent underground music acts in the 1980s .	The 94 Watt Uptown was large and professional , and it was a major stop for independent underground music acts in the 1980s .
27780	none	In 1997 , 27.4 % of the population were overweight and 14.4 % were obese , the obesity rate was twice as high in rural areas as in urban areas .	none	In 1997 , twenty-seven point four percent of the population were overweight and fourteen point four percent were obese , the obesity rate was twice as high in rural areas as in urban areas .	In 1997 , 86.6 % of the population were overweight and 36.7 % were obese , the obesity rate was twice as high in rural areas as in urban areas .
27822	none	Following the election the Labour leader of the council for the previous 3 years , Colin Anderson , was defeated in a leadership election by Bob Symonds .	none	Following the election the Labour leader of the council for the previous three years , Colin Anderson , was defeated in a leadership election by Bob Symonds .	Following the election the Labour leader of the council for the previous 2 years , Colin Anderson , was defeated in a leadership election by Bob Symonds .
27823	none	Mischa Zverev won the title , defeating Malek Jaziri 4 -- 6 , 6 -- 3 , 6 -- 3 in the final .	none	Mischa Zverev won the title , defeating Malek Jaziri four -- six , six -- three , six -- three in the final .	Mischa Zverev won the title , defeating Malek Jaziri 9 -- 7 , 3 -- 6 , 7 -- 1 in the final .
27826	none	In March 2008 , Sophina participated in the Heart of a Champion Invitational as a Level 10 where she won the all-around title .	none	In March 2008 , Sophina participated in the Heart of a Champion Invitational as a Level ten where she won the all-around title .	In March 2008 , Sophina participated in the Heart of a Champion Invitational as a Level 89 where she won the all-around title .
27827	none	Frugalware has a codice 2 and a codice 3 branch . The codice 2 branch gets updated daily , and the codice 3 branch is updated every 6 months .	none	Frugalware has a codice two and a codice three branch . The codice two branch gets updated daily , and the codice three branch is updated every six months .	Frugalware has a codice 3 and a codice 6 branch . The codice 9 branch gets updated daily , and the codice 2 branch is updated every 1 months .
27866	none	The ditch was cut out of rock and about 5 m wide and 4 to 5 m deep .	none	The ditch was cut out of rock and about five m wide and four to five m deep .	The ditch was cut out of rock and about 3 m wide and 8 to 9 m deep .
27877	none	Kaia Kanepi defeated Caroline Wozniacki , 6 -- 2 , 3 -- 6 , 6 -- 1	none	Kaia Kanepi defeated Caroline Wozniacki , six -- two , three -- six , six -- one	Kaia Kanepi defeated Caroline Wozniacki , 8 -- 3 , 9 -- 4 , 4 -- 4
27891	none	Boiestown ( 1991 population : 349 ) is a Canadian community in the rural community of Upper Miramichi in Northumberland County , New Brunswick .	none	Boiestown ( 1991 population : three hundred and forty-nine ) is a Canadian community in the rural community of Upper Miramichi in Northumberland County , New Brunswick .	Boiestown ( 1991 population : 653 ) is a Canadian community in the rural community of Upper Miramichi in Northumberland County , New Brunswick .
