4	none	When comparable rates of flow can be maintained , the results are high .	none	If comparable flow rates can be maintained, the results are high.	When comparable rates of flow can be based , the results are high .
2402	none	In general , Ireland , with the exception of most of Northern Europe , came under the influence of Protestantism .	none	In general, Ireland, with the exception of most Northern Europe, came under the influence of Protestantism.	In general , Ireland , with the exception of most of Northern Europe , treated under the influence of Protestantism .
2408	none	Cassandra Peterson also appeared in Peaches Christ 's " All About Evil " with Patrick Bristow , Mink Stole and Brown .	none	Cassandra Peterson also appeared in Peaches Christ's "All about Evil" with Patrick Bristow, Mink Stole and Braun.	Cassandra Peterson also had in Peaches Christ 's `` All About Evil `` with Patrick Bristow , Mink Stole and Brown .
2411	none	New York 's initial possession of parts of Maine ensured a close relationship with other New England colonies like Vermont and a continuing New England influence in the colony .	none	New York's initial possession of parts of Maine provided a close relationship with other New England colonies such as Vermont and a sustained New England influence in the colony.	New York 's initial possession of parts of Maine was a close relationship with other New England colonies like Vermont and a continuing New England influence in the colony .
2412	none	When water and sewerage companies were privatised in Northern Ireland in 1989 , these services remained public in England and Wales and in Scotland .	none	When water and wastewater companies were privatised in Northern Ireland in 1989, these services remained public in England and Wales as well as in Scotland.	When water and sewerage companies were had in Northern Ireland in 1989 , these services remained public in England and Wales and in Scotland .
2415	none	Robert retaliated against the recalcitrant John by sending a troop of soldiers from Brabant to Bangor .	none	Robert took revenge on the rebellious John by sending a troop of soldiers from Brabant to Bangor.	Robert stated against the recalcitrant John by sending a troop of soldiers from Brabant to Bangor .
2417	none	He was moved to Macau , joined the Jesuit Order , and died as a martyr in Vietnam in 1737 .	none	He was sent to Macau, joined the Jesuit order, and died as a martyr in Vietnam in 1737.	He was located to Macau , joined the Jesuit Order , and died as a martyr in Vietnam in 1737 .
2420	none	It was the northernmost of several Muslim states in the Horn of Africa , acting as a buffer between Muslim kingdom and the Christian states along the coastal regions .	none	It was the northernmost of several Muslim states on the Horn of Africa, as a buffer between the Muslim kingdom and the Christian states along the coastal regions.	It was the northernmost of several Muslim states in the Horn of Africa , lying as a buffer between Muslim kingdom and the Christian states along the coastal regions .
2421	none	Sir Herbert was re-elected to the new seat of Croydon East and was returned in 1951 .	none	Sir Herbert was again elected to the new seat of Croydon East and returned in 1951.	Sir Herbert was issued to the new seat of Croydon East and was returned in 1951 .
2425	none	InFocus M810 is a smartphone manufactured by InFocus and marketed by Foxconn . It was released on July 31 , 2014 .	none	InFocus M810 is a smartphone manufactured by InFocus and marketed by Foxconn. It was released on July 31, 2014.	InFocus M810 is a smartphone awarded by InFocus and marketed by Foxconn . It was released on July 31 , 2014 .
2427	none	The Indore district consists of 4 divisions : Depalpur , Sanwer , Indore and Mhow .	none	The district of Indore consists of 4 divisions: Depalpur, Sanwer, Indore and Mhow.	The Indore district protects of 4 divisions : Depalpur , Sanwer , Indore and Mhow .
2428	none	Sandra Klemenschits and Andreja Klepač won the title , defeating Kristina Barrois and Eleni Daniilidou in the final , 6 -- 1 , 6 -- 4 .	none	Sandra Klemenschits and Andreja Klepač won the title and defeated Kristina Barrois and Eleni Daniilidou in the final, 6 - 1, 6 - 4.	Sandra Klemenschits and Andreja Klepač dismissed the title , defeating Kristina Barrois and Eleni Daniilidou in the final , 6 -- 1 , 6 -- 4 .
2432	none	He taught physics at a number of universities in Germany , Italy , France , England , Lebanon , and Jordan before joining Birzeit University in 1980 .	none	He taught physics at a number of universities in Germany, Italy, France, England, Lebanon and Jordan before joining Birzeit University in 1980.	He had physics at a number of universities in Germany , Italy , France , England , Lebanon , and Jordan before joining Birzeit University in 1980 .
2436	none	The district also includes some non-contributory buildings , including two modern church complexes , the Harper School and several non-historic houses .	none	The district also includes some non-contributory buildings, including two modern church complexes, the Harper School and several non-historical houses.	The district also allows some non-contributory buildings , including two modern church complexes , the Harper School and several non-historic houses .
2437	none	In March 1833 , Dearborn Township was renamed Redford and the southern half became Pekin on April 1st .	none	In March 1833, Dearborn Township was renamed Redford and the southern half was renamed Pekin on 1 March 1833.	In March 1833 , Dearborn Township was invited Redford and the southern half became Pekin on April 1st .
2438	none	The circulatory anastomosis is further divided into arterial and venous anastomosis .	none	Circulating anastoma is further divided into arterial and venous anastoma.	The circulatory anastomosis is further known into arterial and venous anastomosis .
2441	none	The song became the first title song of the main characters , Vincent ( Jay Ryan ) and Catherine ( Kristin Kreuk ) .	none	The song became the first title song of the main characters, Vincent (Jay Ryan ) and Catherine ( Kristin Kreuk ).	The song located the first title song of the main characters , Vincent ( Jay Ryan ) and Catherine ( Kristin Kreuk ) .
2443	none	The following table lists all the games that the Brazilian national team played in official competitions and friendly games during 2011 .	none	The following table lists all games played by the Brazilian national team in official competitions and friendship games in 2011.	The following table lists all the games that the Brazilian national team ended in official competitions and friendly games during 2011 .
2448	none	The following night , Delirious put his problems with Pearce aside to challenge Danielson .	none	The following night, Delirious put aside his problems with Pearce to challenge Danielson.	The following night , Delirious tweeted his problems with Pearce aside to challenge Danielson .
2451	none	" Holocaust " , inaugurated in Lincoln Park in November 1984 , was created by the sculptor George Segal .	none	"Holocaust", inaugurated in Lincoln Park in November 1984, was created by sculptor George Segal.	`` Holocaust `` , praised in Lincoln Park in November 1984 , was created by the sculptor George Segal .
2454	none	Alfonso Enrique Ponce Martínez ( born December 8 , 1971 in Chiva , Valencia , Spain ) , known as Enrique Ponce , is a famous Spanish bullfighter .	none	He was born in Chiva, Valencia, Spain.	Alfonso Enrique Ponce Martínez ( born December 8 , 1971 in Chiva , Valencia , Spain ) , collected as Enrique Ponce , is a famous Spanish bullfighter .
2455	none	It became one of the four British chemical companies which merged in 1926 with Brunner Mond , Nobel Explosives and United Alkali Company to form Imperial Chemical Industries .	none	It became one of the four British chemical companies that merged with Brunner Mond, Nobel Explosives and United Alkali Company to form Imperial Chemical Industries in 1926.	It criticized one of the four British chemical companies which merged in 1926 with Brunner Mond , Nobel Explosives and United Alkali Company to form Imperial Chemical Industries .
2458	none	Hummer pursued a broadcasting career briefly in 1996 and worked for TVG Network , a horse racing network .	none	In 1996, Hummer briefly pursued a radio career and worked for TVG Network, a horse racing network.	Hummer vented a broadcasting career briefly in 1996 and worked for TVG Network , a horse racing network .
2462	none	The Gradis family was Jewish and was probably moved from Portugal to Bordeaux around 1495 .	none	The Gradis family was Jewish and was probably moved from Portugal to Bordeaux around 1495.	The Gradis family was Jewish and was probably delegated from Portugal to Bordeaux around 1495 .
2463	none	Kadria then shot Milić Krstić twice and fled .	none	Kadria shot Milić Krstić twice and fled.	Kadria then told Milić Krstić twice and fled .
2469	none	It arrived in Australia in August 2006 and debuted in New Zealand in early 2007 .	none	It arrived in Australia in August 2006 and debuted in New Zealand at the beginning of 2007.	It joined in Australia in August 2006 and debuted in New Zealand in early 2007 .
2471	none	These prohibitions are rarely enforced , and viewing private satellite broadcasts in North Korean homes is legal .	none	These prohibitions are rarely enforced, and viewing private satellite broadcasts in North Korean homes is legal.	These prohibitions are rarely published , and viewing private satellite broadcasts in North Korean homes is legal .
2473	none	Lauderdale also played in the CBA , China , Venezuela , Cyprus , Lebanon , Saudi Arabia , Iran , Spain , the UK and the United Arab Emirates .	none	Lauderdale also played in the CBA, China, Venezuela, Cyprus, Lebanon, Saudi Arabia, Iran, Spain, Great Britain and the United Arab Emirates.	Lauderdale also treated in the CBA , China , Venezuela , Cyprus , Lebanon , Saudi Arabia , Iran , Spain , the UK and the United Arab Emirates .
2474	none	Jeppe Tengbjerg ( born 28 December 1973 ) is a Danish football manager and former football player .	none	He was born in Copenhagen, Denmark, and is a former Danish footballer and coach.	Jeppe Tengbjerg ( delegated 28 December 1973 ) is a Danish football manager and former football player .
2475	none	In 1955 , Johannes Herman Johannes married Annie Marie Gilbertine Amalo .	none	In 1955, Johannes Herman married John Annie Marie Gilbertine Amalo.	In 1955 , Johannes Herman Johannes ascended Annie Marie Gilbertine Amalo .
2476	none	VLC systems generally apply common coding and modulation techniques to achieve robustness against specific TLM disturbances .	none	VLC systems generally use common coding and modulation techniques to achieve robustness against specific TLM faults.	VLC systems generally apply common coding and modulation techniques to shoulder robustness against specific TLM disturbances .
2478	none	When Peugeot launched the stylish new 205 in 1983 , the 104 was withdrawn from most European markets , including Britain .	none	When Peugeot launched the stylish new 205 in 1983, the 104 was withdrawn from most European markets, including Great Britain.	When Peugeot exposed the stylish new 205 in 1983 , the 104 was withdrawn from most European markets , including Britain .
2479	none	The Muslim Students Society of Nigeria ( MSSN ) was cofounded in 1954 by Abdurrahaman Sahid , Babs Fafunwa , Tajudeen Aromashodun , Lateef Adegbite in Lagos .	none	The Muslim Students Society of Nigeria (MSSN) was founded in 1954 by Abdurrahaman Sahid, Babs Fafunwa, Tajudeen Aromashodun, Lateef Adegbite in Lagos.	The Muslim Students Society of Nigeria ( MSSN ) was secured in 1954 by Abdurrahaman Sahid , Babs Fafunwa , Tajudeen Aromashodun , Lateef Adegbite in Lagos .
2482	none	Hannah Chaplin was born on April 16 , 1889 , as Hannah Harriet Pedlingham Hill ( b. Charles Spencer Chaplin ) and Charles Chaplin Sr .	none	Hannah Chaplin was born on April 16, 1889 as Hannah Harriet Pedlingham Hill (born Charles Spencer Chaplin) and Charles Chaplin Sr.	Hannah Chaplin was estimated on April 16 , 1889 , as Hannah Harriet Pedlingham Hill ( b. Charles Spencer Chaplin ) and Charles Chaplin Sr .
2486	none	He married his first wife , Helie of Semur , around 1033 and dismissed her in 1048 . Robert and Helie had five children :	none	He married his first wife, Helie of Semur, around 1033 and released her in 1048. Robert and Helie had five children:	He transferred his first wife , Helie of Semur , around 1033 and dismissed her in 1048 . Robert and Helie had five children :
2493	none	It was founded by Metin Üstündağ , Selçuk Erdem , Erdil Yasaroğlu and Bahadır Baruter in 2002 .	none	It was founded in 2002 by Metin Üstündağ, Selçuk Erdem, Erdil Yasaroğlu and Bahadır Baruter.	It was verified by Metin Üstündağ , Selçuk Erdem , Erdil Yasaroğlu and Bahadır Baruter in 2002 .
2498	none	Cedar wood has been exploited over the centuries by the Phoenicians , Egyptians , Assyrians , Babylonians , Persians , Romans , Israelites and Turks .	none	Cedar wood has been exploited over the centuries by the Phoenicians, Egyptians, Assyrians, Babylonians, Persians, Romans, Israelites, and Turks.	Cedar wood has been considered over the centuries by the Phoenicians , Egyptians , Assyrians , Babylonians , Persians , Romans , Israelites and Turks .
2499	none	Any two of the digitised waveforms could be used by the two digital oscillators provided .	none	Two of the digitized waveforms could be used by the two digital oscillators provided.	Any two of the digitised waveforms could be run by the two digital oscillators provided .
2500	none	He made 396 performances in the Football League for Swindon Town , Torquay United , Crystal Palace and Plymouth Argyle , before moving with Cambridge City to the Non-League - Football .	none	He made 396 appearances in the Football League for Swindon Town, Torquay United, Crystal Palace and Plymouth Argyle before joining Cambridge City in non-league football.	He installed 396 performances in the Football League for Swindon Town , Torquay United , Crystal Palace and Plymouth Argyle , before moving with Cambridge City to the Non-League - Football .
2503	none	Gatewood was signed by the Philadelphia Eagles on August 25 , 2009 . He was released as a final cut on September 5 .	none	He was signed by the Philadelphia Eagles on August 5, 2009.	Gatewood was provided by the Philadelphia Eagles on August 25 , 2009 . He was released as a final cut on September 5 .
2507	none	IROKING has also launched mobile applications for its music application on the iOS , Android , Windows and Symbian ( Nokia ) mobile handsets .	none	IROKING has also launched mobile applications for its music application on iOS, Android, Windows and Symbian ( Nokia) phones.	IROKING has also created mobile applications for its music application on the iOS , Android , Windows and Symbian ( Nokia ) mobile handsets .
2511	none	American Express later established its headquarters in a building at the intersection of Jay Street and Hudson Street , was initially called the Tribeca section of Manhattan .	none	American Express later established its headquarters in a building at the intersection of Jay Street and Hudson Street, initially becoming the Tribeca section of Manhattan.	American Express later lived its headquarters in a building at the intersection of Jay Street and Hudson Street , was initially called the Tribeca section of Manhattan .
2512	none	The participants included TJ Trinidad , Joem Bascon , Rico Robles , Rico Barrera , Jordan Hererra , Biboy Ramirez , Eric Fructuoso , and Michael Roy Jornales .	none	The participants were TJ Trinidad, Joem Bascon, Rico Robles, Rico Barrera, Jordan Hererra, Biboy Ramirez, Eric Fructuoso, and Michael Roy Jornales.	The participants went TJ Trinidad , Joem Bascon , Rico Robles , Rico Barrera , Jordan Hererra , Biboy Ramirez , Eric Fructuoso , and Michael Roy Jornales .
2518	none	Mundla Chand is a village in the Berasia district of Madhya Pradesh , India . It is located in the Bhopal tehsil .	none	Mundla Chand is a village in Berasia District in Madhya Pradesh, India. It is located in Bhopal Tehsil.	Mundla Chand is a village in the Berasia district of Madhya Pradesh , India . It is built in the Bhopal tehsil .
2519	none	The game resulted in the National League defeating the American League 6 -- 5 .	none	The game led to the National League defeating the American League 6-5.	The game opened in the National League defeating the American League 6 -- 5 .
2521	none	In the Smythe Division , the Calgary Flames and the Edmonton Oilers made the playoffs every year while the original Winnipeg Jets only missed twice .	none	In the Smythe Division, the Calgary Flames and the Edmonton Oilers made the playoffs each year, while the original Winnipeg Jets only missed twice.	In the Smythe Division , the Calgary Flames and the Edmonton Oilers knew the playoffs every year while the original Winnipeg Jets only missed twice .
2524	none	The FIFA Manager 10 was developed by Bright Future and published by EA Spore .	none	The FIFA Manager 10 was developed by Bright Future and released by EA Spore.	The FIFA Manager 10 was focused by Bright Future and published by EA Spore .
2525	none	After the Muslim invasions of the seventh century , the original Christians from actual Azerbaijan disappeared almost .	none	After the Muslim invasions of the seventh century, the original Christians from actual Azerbaijan almost disappeared.	After the Muslim invasions of the seventh century , the original Christians from actual Azerbaijan turned almost .
2526	none	Pingding County is a county located in Yangquan , People 's Republic of China under the jurisdiction of the city of Shanxi .	none	Pingding County is a county of Shanxi, People's Republic of China.	farming County is a county located in Yangquan , People 's Republic of China under the jurisdiction of the city of Shanxi .
2527	none	Cooper was born in Long Beach , California , and lives his whole life in Los Angeles , California .	none	Cooper was born in Long Beach, California and lives his whole life in Los Angeles, California.	Cooper was regarded in Long Beach , California , and lives his whole life in Los Angeles , California .
2532	none	The Finnish album " Deathstar Rising " cracked the new Album Top 10 and reached # 8 in first week of March 2011 .	none	The Finnish album "Deathstar Rising" cracked the new album Top 10 and reached number 8 in the first week of March 2011.	The Finnish album `` Deathstar Rising `` replaced the new Album Top 10 and reached # 8 in first week of March 2011 .
2533	none	The private foundation operates under independent law with foundation capital from the governments of Germany and the State of North Rhine-Westphalia .	none	The private foundation works according to its own law with foundation capital from the governments of Germany and the state of North Rhine-Westphalia.	The private foundation suits under independent law with foundation capital from the governments of Germany and the State of North Rhine-Westphalia .
2534	none	On 30 June 2016 , Infante agreed to a Minor League Deal with the Atlanta Braves and was released by the Braves on August 16 , 2016 .	none	On June 30, 2016, Infante agreed to a minor league deal with the Atlanta Braves and was released by the Braves on August 16, 2016.	On 30 June 2016 , Infante compared to a Minor League Deal with the Atlanta Braves and was released by the Braves on August 16 , 2016 .
2543	none	Produced by Oscar Hammerstein II , the show by Reginald Hammerstein was choreographed ( the brother of Arthur Hammerstein ) and was led by Danny Dare .	none	Produced by Oscar Hammerstein II, the show was choreographed by Reginald Hammerstein (the brother of Arthur Hammerstein) and was led by Danny Dare.	revealed by Oscar Hammerstein II , the show by Reginald Hammerstein was choreographed ( the brother of Arthur Hammerstein ) and was led by Danny Dare .
2544	none	She was born in 1963 in Da Lat , to a French father and a Vietnamese mother .	none	She was born in 1963 in Da Lat, a French father and a Vietnamese mother.	She was announced in 1963 in Da Lat , to a French father and a Vietnamese mother .
2546	none	Armand Alexander de Castagny was a Lieutenant in the French siege of Antwerp in 1832 , and later he served in Algiers .	none	Armand Alexander de Castagna was a lieutenant in the French siege of Antwerp in 1832, and later served in Algiers.	Armand Alexander de Castagny was a Lieutenant in the French siege of Antwerp in 1832 , and later he repurchased in Algiers .
2547	none	Gabriel annihilated Weiss and his troops and attacked them on 14 October .	none	Gabriel destroyed Weiss and his troops and attacked them on October 14th.	Gabriel focused Weiss and his troops and attacked them on 14 October .
2548	none	The Sanghar ( are partly called Hindu Sanghar " Jamotar " Gujarat and Mumbai Maharashtra India .	none	The Sanghar (partly Hindu Sanghar "Jamotar " Gujarat and Mumbai called Maharashtra India.	The Sanghar ( are partly introduced Hindu Sanghar `` Jamotar `` Gujarat and Mumbai Maharashtra India .
2553	none	Therefore , on 25 February 1232 , Archbishop Robert of Esztergom placed the Kingdom of Hungary under an interdict and excommunicated some high dignitaries of the king .	none	Therefore, on February 25, 1232, Archbishop Robert of Esztergom placed the Kingdom of Hungary under an interdict and excommunicated some high dignitaries of the king.	Therefore , on 25 February 1232 , Archbishop Robert of Esztergom passed the Kingdom of Hungary under an interdict and excommunicated some high dignitaries of the king .
2556	none	The ceremonial county includes the Isles of Scilly , which are not part of the Administrative county of Cornwall .	none	==Geography==According to the U.S. Census Bureau, the county has a total area of, of which is land and (0.4%) is water.	The ceremonial county displays the Isles of Scilly , which are not part of the Administrative county of Cornwall .
2562	none	For example , the National Civic League ( originally the National Municipal League ) promotes effective local government management .	none	For example, the National Civic League ( originally the National Municipal League) promotes effective administration of local authorities.	For example , the National Civic League ( originally the National Municipal League ) develops effective local government management .
2563	none	In 2004 Bessonova won the Allround - Silver Medal at the European Championships 2004 .	none	In 2004, Bessonova won the Allround Silver Medal at the 2004 European Championships.	In 2004 Bessonova focused the Allround - Silver Medal at the European Championships 2004 .
2566	none	Botanist Aaron Davis and gardeners Matt Bishop and John Grimshaw , authors of the works on which these notes are based , also qualify as galanthophiles .	none	botanist Aaron Davis and gardener Matt Bishop and John Grimshaw, authors of the works on which these notes are based, also qualify as galanthophiles.	Botanist Aaron Davis and gardeners Matt Bishop and John Grimshaw , authors of the works on which these notes are stabilized , also qualify as galanthophiles .
2568	none	A codice 1 can not be copied as its copy constructor and its assignment operators are explicitly deleted .	none	A Codice 1 cannot be copied because its copy constructor and its assignment operators are explicitly deleted.	A codice 1 can not be increased as its copy constructor and its assignment operators are explicitly deleted .
2575	none	ABC Books has released seven paperback novels , each based on a particular episode and from the perspective of a single character .	none	ABC Books has published seven paperback novels, each based on a specific episode and from the perspective of a single character.	ABC Books has dressed seven paperback novels , each based on a particular episode and from the perspective of a single character .
2578	none	Most of our information about Murena 's life and career comes from the contents of Cicero 's speech .	none	Most of our information about Murena's life and career comes from the content of the speech Cicero.	Most of our information about Murena 's life and career accounts from the contents of Cicero 's speech .
2587	none	Cum Posey played for Brown 's Grays from 1932 to 1945 .	none	From 1932 to 1945, Cum Posey played for Brown's Grays.	Cum Posey dismissed for Brown 's Grays from 1932 to 1945 .
2589	none	He was captured , with 18 other murdered SOE officers , at the Gross-Rosen concentration camp in Lower Silesia in July or August 1944 .	none	He was captured, with 18 other SOE officers murdered, in the Gross-Rosen concentration camp in Lower Silesia in July or August 1944.	He was shared , with 18 other murdered SOE officers , at the Gross-Rosen concentration camp in Lower Silesia in July or August 1944 .
2593	none	Don Diego de San Francisco Tehuetzquititzin ( sometimes called Tehuetzquiti or Tehuetzqui ) ( died 1554 ) was the 16th " tlatoani " and second governor of Tenochtitlan .	none	Don Diego de San Francisco Tehuetzquititzin (also known as Tehuetzquiti or Tehuetzqui) was the 16th Governor of San Francisco.	Don Diego de San Francisco Tehuetzquititzin ( sometimes known Tehuetzquiti or Tehuetzqui ) ( died 1554 ) was the 16th `` tlatoani `` and second governor of Tenochtitlan .
2597	none	Walter Lyhert ( or Walter Hart ; died on 24 May 1472 ) was a medieval bishop of Norwich .	none	He was the first bishop of Norwich, and the second bishop of Norwich.	Walter Lyhert ( or Walter Hart ; happened on 24 May 1472 ) was a medieval bishop of Norwich .
2598	none	In the 1983 American television biopic " Dempsey " , Estelle Taylor was portrayed by British actress Victoria Tennant .	none	==Filmography=====Film======Television======Television======Television=====References====External links==	In the 1983 American television biopic `` Dempsey `` , Estelle Taylor was trapped by British actress Victoria Tennant .
2600	none	The T helper cells then activate the B cells , which are also in the presence of these antigens , causing the production of autoantibodies .	none	The T-helper cells then activate the B-cells, which are also present in these antigens, thereby producing autoantibodies.	The T helper cells then activate the B cells , which are also in the presence of these antigens , covering the production of autoantibodies .
2602	none	In 1948 Massey Harris produced the first Italian self-propelled combine harvester , the 1500 , preceded only by Bubba in 1941 .	none	In 1948 Massey Harris produced the first Italian self-propelled combine harvester, the 1500, which was only preceded by Bubba in 1941.	In 1948 Massey Harris worked the first Italian self-propelled combine harvester , the 1500 , preceded only by Bubba in 1941 .
2606	none	PATH - Service of Exchange Place runs east to the World Trade Center , north to Hoboken Terminal and west to Journal Square and Newark Penn Station .	none	PATH - Service of Exchange Place runs east to the World Trade Center, north to the Hoboken Terminal and west to Journal Square and Newark Penn Station.	PATH - Service of Exchange Place supports east to the World Trade Center , north to Hoboken Terminal and west to Journal Square and Newark Penn Station .
2609	none	B is the usual term between the two premises ( the center term ) , but is never distributed , so this syllogism is invalid .	none	B is the usual term between the two premises (the mean term), but never distributed, so that this syllogism is invalid.	B is the usual term between the two premises ( the center term ) , but is never published , so this syllogism is invalid .
2610	none	" Holocaust , " dedicated in November 1984 in Lincoln Park , was created by the sculptor George Segal .	none	" Holocaust", dedicated in November 1984 in Lincoln Park, was created by sculptor George Segal.	`` Holocaust , `` handled in November 1984 in Lincoln Park , was created by the sculptor George Segal .
2612	none	In September 2014 , it was announced that a South Korean version and a North American version would be published .	none	In September 2014, it was announced that a South Korean version and a North American version will be released.	In September 2014 , it was designated that a South Korean version and a North American version would be published .
2613	none	Chanchala is a 1974 Indian Malayalam film , directed by SSabu and produced by Hassan Rasheed .	none	Chanchala is a 1974 American film directed by Hassan Rasheed.	Chanchala is a 1974 Indian Malayalam film , made by SSabu and produced by Hassan Rasheed .
2618	none	On 9 June 2017 , Barkchi Vitaliy Levchenko appointed her manager after Mubin Ergashev joined the Krylia Sovetov coaching staff .	none	On 9 June 2017, Barkchi Vitaliy Levchenko appointed her manager after Mubin Ergashev joined the Krylia Sovetov coaching staff.	On 9 June 2017 , Barkchi Vitaliy Levchenko brought her manager after Mubin Ergashev joined the Krylia Sovetov coaching staff .
2623	none	The town of Phichit was established in 1058 by Phraya Kotabongthevaraja , and was first part of the Sukhothai Kingdom , and later of Ayutthaya .	none	The city of Phichit was founded in 1058 by Phraya Kotabongthevaraja, and was the first part of the kingdom of Sukhothai, and later of Ayutthaya.	The town of Phichit was placed in 1058 by Phraya Kotabongthevaraja , and was first part of the Sukhothai Kingdom , and later of Ayutthaya .
2624	none	The album was recorded live with acoustic instruments , instead of the electric instruments used on the previous album , " Hot Tuna " .	none	The album was recorded live with acoustic instruments instead of the electric instruments used on the previous album, " Hot Tuna".	The album was targeted live with acoustic instruments , instead of the electric instruments used on the previous album , `` Hot Tuna `` .
2631	none	When he finished his career in Poland , he went to Canada to sign the Toronto Falcons of the National Soccer League .	none	When he finished his career in Poland, he went to Canada to sign the Toronto Falcons of the National Soccer League.	When he tweeted his career in Poland , he went to Canada to sign the Toronto Falcons of the National Soccer League .
2632	none	In 1975 he was appointed Australia 's first General Consul in Papua - New Guinea .	none	In 1975 he was appointed the first Consul General of Australia in Papua New Guinea.	In 1975 he was learned Australia 's first General Consul in Papua - New Guinea .
2637	none	Bowman grew up in Boston and started his newspaper career in 1976 as a stringer for " The Patriot Ledger " in Quincy , Massachusetts .	none	Bowman grew up in Boston and began his newspaper career in 1976 as a stringer for "The Patriot Ledger" in Quincy, Massachusetts.	Bowman fought up in Boston and started his newspaper career in 1976 as a stringer for `` The Patriot Ledger `` in Quincy , Massachusetts .
2638	none	" Streptopus lanceolatus " can be distinguished from Solomon 's seal and false Solomon 's seal by the alternate leaves on a zigzag stem .	none	" Streptopus lanceolatus " can be distinguished from Solomon's seal and false Solomon's seal by the alternating leaves on a zigzag stem.	`` Streptopus lanceolatus `` can be held from Solomon 's seal and false Solomon 's seal by the alternate leaves on a zigzag stem .
2640	none	Holly begins to suffer from a heart attack and is unable to venture into the concert with Hodges and Jerome , but urges them to press on .	none	Holly begins to suffer from a heart attack and is not able to venture into the concert with Hodges and Jerome, but urges her to continue.	Holly upholds to suffer from a heart attack and is unable to venture into the concert with Hodges and Jerome , but urges them to press on .
2643	none	The national road cycling championships 2010 began in January in Australia and New Zealand , most of the European championships will take place in June .	none	The 2010 national road bike championships started in January in Australia and New Zealand, most of the European championships will take place in June.	The national road accelerating championships 2010 began in January in Australia and New Zealand , most of the European championships will take place in June .
2644	none	Mowbray Park , a public riverside park , was until the 1930s , the site of a large swimming pool built into the river .	none	Mowbray Park, a public riverside park, was built until the 1930s, the site of a large swimming pool in the river.	Mowbray Park , a public riverside park , was until the 1930s , the site of a large swimming pool extended into the river .
2645	none	Canada is represented in Cambodia by its UN mission in New York City .	none	Canada is represented in Cambodia through its UN mission in New York City.	Canada is framed in Cambodia by its UN mission in New York City .
2647	none	Also in 1999 , Abdelaziz Bouteflika , who supported Algeria ’ s independence , became president of the Western Sahara .	none	In 1999, Abdelaziz Bouteflika, who supported Algeria, became President of Western Sahara.	Also in 1999 , Abdelaziz Bouteflika , who joined Algeria ’ s independence , became president of the Western Sahara .
2649	none	The northern Cavefish or southern blindfish , " Amblyopsis spelaea " , is found in caves through Indiana and North - Kentucky .	none	The northern cavefish or southern blindfish, " Amblyopsis spelaea ", is found in caves through Indiana and North Kentucky.	The northern Cavefish or southern blindfish , `` Amblyopsis spelaea `` , is housed in caves through Indiana and North - Kentucky .
2652	none	Lily used her own experiences with Macca to convince Cassie to leave Kyle .	none	Lily used her own experience with Macca to convince Cassie to leave Kyle.	Lily vented her own experiences with Macca to convince Cassie to leave Kyle .
2655	none	The title track was composed by V. Harikrishna and is sung by Priya Hemesh with lyrics by Yugabharathi .	none	The title track was composed by V. Harikrishna and is sung by Priya Hemesh with lyrics by Yugabharathi.	The title track was shifted by V. Harikrishna and is sung by Priya Hemesh with lyrics by Yugabharathi .
2656	none	April 9 : RHP Ben Rowen and C Brian Ward traded to Los Angeles Dodgers for RHP Ryan Webb and C Chris O'Brien .	none	April 9 : RHP Ben Rowen and C Brian Ward traded to Los Angeles Dodgers for RHP Ryan Webb and C Chris O'Brien.	April 9 : RHP Ben Rowen and C Brian Ward happened to Los Angeles Dodgers for RHP Ryan Webb and C Chris O'Brien .
2660	none	Furthermore , in many dietary supplements containing raspberry ketones , manufacturers add unsafe ingredients such as caffeine which may have other effects .	none	In addition, in many dietary supplements, the raspberry ketones, manufacturers add unsafe ingredients such as caffeine, which may have other effects.	Furthermore , in many dietary supplements developing raspberry ketones , manufacturers add unsafe ingredients such as caffeine which may have other effects .
2661	none	The song was written by Melanie C and was already recorded in 1999 by Bryan Adams .	none	The song was written by Melanie C and recorded by Bryan Adams in 1999.	The song was handled by Melanie C and was already recorded in 1999 by Bryan Adams .
2663	none	George Blakely died , and St. Salvador and Robinson took over the command .	none	George Blakely died, and St. Salvador and Robinson took command.	George Blakely began , and St. Salvador and Robinson took over the command .
2664	none	The legacy of the Aldenata , also known as the Posleen War Series , is the fictitious universe of one of the military science - fiction - series by John Ringo .	none	The legacy of the Aldenata, also known as the Posleen War Series, is the fictitious universe of one of John Ringo's military science fiction series.	The legacy of the Aldenata , also left as the Posleen War Series , is the fictitious universe of one of the military science - fiction - series by John Ringo .
2665	none	The resulting explosion also destroyed the nuclear vehicle , and then the second SRB initiated its own self-destruction .	none	The resulting explosion also destroyed the nuclear vehicle, and then the second SRB initiated its own self-destruct.	The hitting explosion also destroyed the nuclear vehicle , and then the second SRB initiated its own self-destruction .
2668	none	The buildings were drawn in 1937 but were only built postwar for André Jaoul and his son Michel .	none	The buildings were drawn in 1937, but were not built until after the war for André Jaoul and his son Michel.	The buildings were proposed in 1937 but were only built postwar for André Jaoul and his son Michel .
2670	none	Joe Root also of Yorkshire and currently England 's rising cricket star , now captain of England , was born and raised in Dore .	none	Joe Root also of Yorkshire and currently England's aspiring cricket star, now captain of England, born and raised in Dore.	Joe Root also of Yorkshire and currently England 's observing cricket star , now captain of England , was born and raised in Dore .
